"Model: 'ARClock_withLocalization::PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation1' (),,,,,,DA,2,,D_PRM,0,,,,,,,,,,,,,,,,,,,,,,
(SimID_1370467900_0_ (PDE Simulation)),,,,,,DR,50,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 200.0) (saved timepoints 201),,,,,,DC,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,D_RNA,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 200.0) (roi=('vl2') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times (s) down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances (um) along diameter d=2um ->,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,MAX,MIN,AVG,,RATIO
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,1,0,0,0.328494843,0.3289597,0.329889414,0.331806574,0.334806519,0.339006827,0.344543174,0.351574045,0.360241831,0.369951297,0.372456631,0.363126079,0.353355362,0.344893732,0.337904907,0.332314859,0.328017272,0.324907595,0.322893335,0.321904351,0.321409859,0,0,,0.372456631,0.321409859,0.340117057,,1.158821426
,2,0,0,0.585377806,0.585877452,0.586876743,0.588937588,0.592162625,0.596678474,0.602632084,0.610198619,0.619551429,0.630145554,0.632859907,0.622620758,0.612037309,0.602896,0.595349347,0.589311923,0.584668454,0.581306927,0.579128592,0.5780587,0.577523754,0,0,,0.632859907,0.577523754,0.59781905,,1.095816238
,3,0,0,0.623744771,0.624246447,0.625249797,0.627319168,0.630557942,0.635093851,0.641075532,0.648681059,0.658089864,0.668771857,0.671508151,0.661177547,0.650527038,0.641335772,0.633751254,0.627685167,0.623020453,0.619643915,0.617455994,0.61638143,0.615844147,0,0,,0.671508151,0.615844147,0.636245769,,1.090386511
,4,0,0,0.554075218,0.554569199,0.555557163,0.557595069,0.56078534,0.565254859,0.571151797,0.578654488,0.587944996,0.598512069,0.601221483,0.591001569,0.580485889,0.571420192,0.563944678,0.557969042,0.553375813,0.550052065,0.547898831,0.546841442,0.546312748,0,0,,0.601221483,0.546312748,0.566410664,,1.100507877
,5,0,0,0.432364114,0.43284077,0.43379408,0.435761054,0.438841799,0.443161004,0.448865242,0.456132243,0.465146983,0.475431168,0.478074744,0.468132538,0.457934711,0.449159828,0.441934787,0.436166188,0.431736269,0.428533025,0.426458947,0.425440762,0.424931669,0,0,,0.478074744,0.424931669,0.444325806,,1.125062635
,6,0,0,0.281191946,0.281631722,0.282511273,0.284327327,0.287175275,0.291175516,0.296471786,0.303241329,0.311676538,0.32137185,0.323881961,0.314524564,0.305001871,0.296847712,0.290159426,0.284836037,0.280758345,0.277815649,0.275913054,0.274979906,0.274513333,0,0,,0.323881961,0.274513333,0.292381258,,1.179840547
,7,0,0,0.09650583,0.096822913,0.097457079,0.098771096,0.100845018,0.103785993,0.107730836,0.11286168,0.119416045,0.127312433,0.129424559,0.121850588,0.114527971,0.108429587,0.10353046,0.099695781,0.096797955,0.094728962,0.093401804,0.092754141,0.09243031,0,0,,0.129424559,0.09243031,0.105194335,,1.400239366
,8,0,0,3.02E-04,3.07E-04,3.16E-04,3.37E-04,3.73E-04,4.34E-04,5.38E-04,7.24E-04,0.001074437,0.001712712,0.001918235,0.001255645,8.34E-04,6.00E-04,4.68E-04,3.89E-04,3.40E-04,3.10E-04,2.93E-04,2.85E-04,2.81E-04,0,0,,0.001918235,0.000281434,0.0006235,,6.815923192
