"Model: 'ARClock_withLocalization::D5 unequal PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation8' (),,,,,,,DA,5,D_PRM,0,,,,,,,,,,,,,,,,
(SimID_1539062141_0_ (PDE Simulation)),,,,,,,DR,50,,,,,,,,,,,,,,,,,,
Sim time range (0.0 200.0) (saved timepoints 201),,,,,,,DC,4.5,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,,DRNA,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 200.0) (roi=('vl5') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,
,Times,,,,,,,,,,,,,,,,,,,,,,,,,
Distances ->,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0.30030712,0.300490577,0.300857491,0.301613867,0.302796466,0.30444993,0.306624873,0.3093792,0.312761336,0.316521875,0.31747694,0.313836616,0.309994817,0.306651306,0.303878702,0.301653544,0.29993801,0.298693779,0.29788638,0.29748947,0.297291015,0,0
,2,0,0,0.573466742,0.573668084,0.574070768,0.574900956,0.576199117,0.578014515,0.580403535,0.583432592,0.587165813,0.591379202,0.592444506,0.588345197,0.584093321,0.580407479,0.577354493,0.574904955,0.573016314,0.57164629,0.570757083,0.570319887,0.570101288,0,0
,3,0,0,0.624142371,0.624345363,0.624751348,0.625588372,0.626897301,0.628727936,0.631137397,0.634193301,0.637962279,0.642226159,0.64330396,0.639153001,0.634859205,0.631139844,0.628060071,0.62558943,0.623684679,0.622303031,0.621406301,0.620965408,0.620744962,0,0
,4,0,0,0.561067957,0.56126849,0.561669557,0.562496485,0.563789734,0.565598669,0.567980021,0.57100115,0.574729194,0.578952728,0.580020648,0.575908275,0.571661081,0.567984161,0.564940497,0.562499344,0.560617615,0.559252816,0.558367088,0.557931624,0.557713892,0,0
,5,0,0,0.442784401,0.442978884,0.443367851,0.444169912,0.445424489,0.447179784,0.449491365,0.452425519,0.456049343,0.460163137,0.461204295,0.457198811,0.453071175,0.449501073,0.446547593,0.444179806,0.442355236,0.441032227,0.440173775,0.439751768,0.439540764,0,0
,6,0,0,0.293143231,0.293324721,0.293687703,0.294436345,0.29560788,0.297248101,0.299410189,0.302158313,0.305559807,0.309441084,0.310426217,0.306648403,0.302777222,0.299436978,0.296678004,0.294468761,0.292767924,0.291535501,0.290736234,0.290343453,0.290147063,0,0
,7,0,0,0.107391597,0.10753015,0.107807255,0.108379444,0.109276855,0.110537696,0.112208239,0.114348012,0.11703282,0.120207566,0.121025781,0.117939193,0.114899893,0.112317437,0.11020415,0.108523259,0.107235831,0.106306655,0.105705806,0.105411076,0.105263711,0,0
,8,0,0,2.96E-04,3.01E-04,3.10E-04,3.29E-04,3.63E-04,4.17E-04,5.04E-04,6.43E-04,8.70E-04,0.001215989,0.001323934,9.83E-04,7.22E-04,5.53E-04,4.45E-04,3.76E-04,3.32E-04,3.04E-04,2.87E-04,2.79E-04,2.76E-04,0,0
,9,0,0,1.56E-04,1.59E-04,1.64E-04,1.75E-04,1.94E-04,2.27E-04,2.80E-04,3.72E-04,5.35E-04,8.06E-04,8.92E-04,6.18E-04,4.26E-04,3.12E-04,2.44E-04,2.03E-04,1.77E-04,1.61E-04,1.51E-04,1.47E-04,1.45E-04,0,0
,10,0,0,1.49E-04,1.51E-04,1.56E-04,1.67E-04,1.85E-04,2.16E-04,2.68E-04,3.57E-04,5.15E-04,7.81E-04,8.65E-04,5.96E-04,4.09E-04,2.98E-04,2.33E-04,1.93E-04,1.68E-04,1.53E-04,1.44E-04,1.40E-04,1.38E-04,0,0
,11,0,0,1.64E-04,1.66E-04,1.72E-04,1.83E-04,2.04E-04,2.37E-04,2.93E-04,3.88E-04,5.56E-04,8.32E-04,9.20E-04,6.41E-04,4.44E-04,3.26E-04,2.55E-04,2.12E-04,1.85E-04,1.68E-04,1.59E-04,1.54E-04,1.52E-04,0,0
,12,0,0,1.90E-04,1.93E-04,2.00E-04,2.13E-04,2.36E-04,2.75E-04,3.38E-04,4.44E-04,6.27E-04,9.21E-04,0.00101352,7.19E-04,5.06E-04,3.75E-04,2.96E-04,2.46E-04,2.15E-04,1.96E-04,1.84E-04,1.79E-04,1.77E-04,0,0
,13,0,0,2.28E-04,2.31E-04,2.39E-04,2.55E-04,2.82E-04,3.27E-04,4.00E-04,5.20E-04,7.22E-04,0.001036457,0.001135407,8.23E-04,5.89E-04,4.43E-04,3.51E-04,2.93E-04,2.57E-04,2.34E-04,2.21E-04,2.14E-04,2.11E-04,0,0
,14,0,0,2.77E-04,2.81E-04,2.90E-04,3.09E-04,3.42E-04,3.95E-04,4.80E-04,6.16E-04,8.39E-04,0.001176962,0.001282627,9.50E-04,6.94E-04,5.28E-04,4.23E-04,3.55E-04,3.11E-04,2.84E-04,2.68E-04,2.61E-04,2.57E-04,0,0
,15,0,0,3.40E-04,3.45E-04,3.56E-04,3.79E-04,4.18E-04,4.81E-04,5.79E-04,7.35E-04,9.81E-04,0.001343389,0.001456111,0.001102734,8.22E-04,6.35E-04,5.13E-04,4.33E-04,3.82E-04,3.49E-04,3.29E-04,3.20E-04,3.16E-04,0,0
,16,0,0,4.21E-04,4.28E-04,4.40E-04,4.68E-04,5.15E-04,5.89E-04,7.03E-04,8.79E-04,0.001150431,0.001538956,0.001658994,0.001283446,9.76E-04,7.65E-04,6.25E-04,5.32E-04,4.71E-04,4.31E-04,4.07E-04,3.97E-04,3.91E-04,0,0
,17,0,0,5.25E-04,5.33E-04,5.48E-04,5.81E-04,6.37E-04,7.24E-04,8.55E-04,0.00105376,0.00135284,0.001768784,0.00189638,0.001497607,0.00116174,9.26E-04,7.65E-04,6.56E-04,5.84E-04,5.36E-04,5.08E-04,4.95E-04,4.88E-04,0,0
,18,0,0,6.60E-04,6.69E-04,6.87E-04,7.26E-04,7.92E-04,8.93E-04,0.001044248,0.001267415,0.001595518,0.002040328,0.00217576,0.001752498,0.001386679,0.001123588,9.40E-04,8.14E-04,7.27E-04,6.71E-04,6.37E-04,6.21E-04,6.13E-04,0,0
,19,0,0,8.33E-04,8.44E-04,8.66E-04,9.13E-04,9.90E-04,0.001107345,0.00127988,0.001529828,0.001888962,0.002364412,0.002508047,0.002058639,0.001660806,0.001367951,0.001159442,0.00101291,9.12E-04,8.45E-04,8.04E-04,7.85E-04,7.75E-04,0,0
