iter A R
0 0 0
100000 1 0
200000 5 0
300000 16 0
400000 25 0
500000 36 0
600000 77 0
700000 111 0
800000 128 1
900000 146 0
1000000 179 0
1100000 231 1
1200000 266 0
1300000 313 0
1400000 383 0
1500000 462 0
1600000 541 0
1700000 590 0
1800000 645 1
1900000 696 0
2000000 758 0
2100000 827 1
2200000 877 1
2300000 932 0
2400000 989 1
2500000 1032 0
2600000 1074 1
2700000 1123 1
2800000 1169 0
2900000 1225 0
3000000 1259 0
3100000 1311 0
3200000 1318 0
3300000 1302 0
3400000 1317 0
3500000 1361 0
3600000 1368 0
3700000 1400 1
3800000 1402 1
3900000 1374 1
4000000 1372 1
4100000 1407 0
4200000 1423 1
4300000 1415 0
4400000 1391 0
4500000 1442 1
4600000 1462 1
4700000 1494 0
4800000 1565 2
4900000 1594 2
5000000 1606 1
5100000 1584 2
5200000 1578 0
5300000 1604 0
5400000 1616 0
5500000 1613 1
5600000 1591 2
5700000 1590 0
5800000 1592 0
5900000 1589 1
6000000 1552 1
6100000 1541 0
6200000 1533 2
6300000 1526 0
6400000 1521 0
6500000 1512 1
6600000 1508 0
6700000 1516 2
6800000 1511 2
6900000 1473 2
7000000 1440 2
7100000 1430 2
7200000 1403 3
7300000 1387 1
7400000 1363 2
7500000 1351 0
7600000 1288 2
7700000 1271 0
7800000 1242 2
7900000 1219 2
8000000 1217 4
8100000 1246 1
8200000 1233 2
8300000 1212 0
8400000 1209 4
8500000 1196 0
8600000 1189 2
8700000 1207 1
8800000 1233 1
8900000 1247 1
9000000 1242 2
9100000 1242 5
9200000 1219 0
9300000 1179 4
9400000 1192 1
9500000 1203 4
9600000 1195 1
9700000 1164 2
9800000 1149 6
9900000 1146 1
10000000 1125 2
10100000 1127 2
10200000 1094 2
10300000 1079 0
10400000 1058 0
10500000 1044 3
10600000 1023 4
10700000 984 4
10800000 967 2
10900000 928 4
11000000 866 3
11100000 822 9
11200000 814 1
11300000 812 4
11400000 805 2
11500000 808 4
11600000 823 9
11700000 866 3
11800000 904 3
11900000 894 3
12000000 852 3
12100000 831 4
12200000 805 1
12300000 744 3
12400000 678 10
12500000 633 5
12600000 614 4
12700000 603 4
12800000 574 9
12900000 526 12
13000000 488 4
13100000 463 7
13200000 465 9
13300000 454 3
13400000 420 7
13500000 401 9
13600000 358 13
13700000 321 19
13800000 257 20
13900000 193 20
14000000 154 25
14100000 95 35
14200000 45 61
14300000 29 84
14400000 17 118
14500000 12 159
14600000 9 212
14700000 4 246
14800000 8 304
14900000 11 296
15000000 7 337
15100000 10 382
15200000 4 433
15300000 3 494
15400000 5 532
15500000 9 577
15600000 2 594
15700000 0 646
15800000 1 693
15900000 0 741
16000000 0 793
16100000 0 840
16200000 2 889
16300000 1 919
16400000 1 962
16500000 0 993
16600000 2 1014
16700000 0 1030
16800000 0 1051
16900000 1 1075
17000000 0 1118
17100000 0 1142
17200000 0 1148
17300000 0 1171
17400000 1 1180
17500000 0 1198
17600000 1 1206
17700000 2 1227
17800000 0 1246
17900000 0 1242
18000000 0 1255
18100000 2 1272
18200000 2 1275
18300000 0 1279
18400000 0 1298
18500000 0 1310
18600000 0 1314
18700000 1 1318
18800000 1 1322
18900000 1 1321
19000000 0 1315
19100000 0 1310
19200000 1 1315
19300000 0 1322
19400000 0 1329
19500000 0 1342
19600000 0 1335
19700000 0 1322
19800000 0 1315
19900000 2 1311
20000000 1 1302
20100000 0 1294
20200000 1 1257
20300000 1 1247
20400000 1 1227
20500000 2 1220
20600000 0 1205
20700000 0 1198
20800000 0 1183
20900000 2 1165
21000000 0 1156
21100000 0 1149
21200000 1 1144
21300000 1 1145
21400000 0 1142
21500000 0 1135
21600000 0 1111
21700000 0 1113
21800000 1 1114
21900000 0 1116
22000000 2 1111
22100000 0 1096
22200000 0 1101
22300000 1 1109
22400000 0 1103
22500000 1 1104
22600000 0 1101
22700000 1 1088
22800000 2 1075
22900000 0 1071
23000000 0 1075
23100000 2 1074
23200000 0 1050
23300000 0 1040
23400000 2 1035
23500000 0 1024
23600000 0 1024
23700000 0 1018
23800000 0 1018
23900000 0 1016
24000000 0 1004
24100000 2 995
24200000 0 986
24300000 0 978
24400000 0 972
24500000 0 965
24600000 0 972
24700000 1 968
24800000 0 952
24900000 2 947
25000000 1 939
25100000 0 943
25200000 1 947
25300000 0 943
25400000 0 939
25500000 0 936
25600000 1 930
25700000 0 931
25800000 1 916
25900000 0 899
26000000 0 891
26100000 0 892
26200000 0 887
26300000 0 867
26400000 1 859
26500000 0 861
26600000 0 855
26700000 1 853
26800000 0 853
26900000 0 847
27000000 0 845
27100000 0 843
27200000 0 836
27300000 0 830
27400000 0 829
27500000 0 822
27600000 1 809
27700000 1 806
27800000 0 795
27900000 0 784
28000000 0 773
28100000 0 748
28200000 0 736
28300000 1 729
28400000 0 720
28500000 0 705
28600000 0 710
28700000 0 703
28800000 0 703
28900000 0 701
29000000 3 684
29100000 1 682
29200000 0 675
29300000 3 661
29400000 1 626
29500000 1 582
29600000 4 557
29700000 5 523
29800000 2 508
29900000 1 507
30000000 2 490
30100000 2 477
30200000 1 481
30300000 1 490
30400000 2 486
30500000 1 497
30600000 2 488
30700000 1 489
30800000 0 492
30900000 1 505
31000000 1 506
31100000 3 502
31200000 0 498
31300000 2 493
31400000 1 480
31500000 1 475
31600000 1 467
31700000 0 456
31800000 1 452
31900000 2 433
32000000 1 422
32100000 2 419
32200000 3 401
32300000 0 391
32400000 6 380
32500000 3 351
32600000 5 340
32700000 1 327
32800000 2 329
32900000 3 338
33000000 2 337
33100000 1 331
33200000 6 304
33300000 6 278
33400000 3 261
33500000 5 259
33600000 1 248
33700000 8 239
33800000 7 224
33900000 6 227
34000000 5 226
34100000 0 245
34200000 1 263
34300000 2 277
34400000 5 276
34500000 1 276
34600000 2 283
34700000 0 286
34800000 1 299
34900000 0 310
35000000 1 312
35100000 1 312
35200000 6 306
35300000 8 266
35400000 11 232
35500000 4 214
35600000 14 213
35700000 10 179
35800000 9 153
35900000 8 154
36000000 4 170
36100000 3 182
36200000 4 192
36300000 1 194
36400000 9 196
36500000 3 195
36600000 6 209
36700000 7 213
36800000 4 205
36900000 2 212
37000000 1 217
37100000 2 229
37200000 1 227
37300000 4 227
37400000 2 230
37500000 2 244
37600000 3 240
37700000 3 244
37800000 2 241
37900000 0 247
38000000 1 262
38100000 2 261
38200000 3 272
38300000 2 272
38400000 0 275
38500000 1 268
38600000 6 262
38700000 7 249
38800000 0 248
38900000 3 252
39000000 2 261
39100000 2 258
39200000 0 269
39300000 4 273
39400000 2 268
39500000 5 267
39600000 2 266
39700000 1 259
39800000 5 247
39900000 3 237
40000000 6 236
40100000 9 227
40200000 5 204
40300000 4 197
40400000 3 195
40500000 8 200
40600000 2 201
40700000 6 197
40800000 3 195
40900000 4 190
41000000 6 199
41100000 3 204
41200000 9 194
41300000 1 170
41400000 8 157
41500000 5 144
41600000 3 155
41700000 18 128
41800000 22 98
41900000 27 78
42000000 23 41
42100000 39 25
42200000 33 21
42300000 37 21
42400000 37 29
42500000 66 27
42600000 112 15
42700000 163 4
42800000 199 4
42900000 210 3
43000000 244 4
43100000 268 4
43200000 282 2
43300000 325 4
43400000 355 4
43500000 378 6
43600000 397 6
43700000 429 3
43800000 454 2
43900000 482 1
44000000 504 1
44100000 522 0
44200000 533 0
44300000 552 3
44400000 556 4
44500000 549 3
44600000 572 3
44700000 595 7
44800000 628 2
44900000 665 1
45000000 674 1
45100000 695 4
45200000 658 2
45300000 644 1
45400000 651 2
45500000 642 2
45600000 642 0
45700000 648 1
45800000 673 5
45900000 699 2
46000000 717 1
46100000 757 3
46200000 774 2
46300000 790 4
46400000 802 0
46500000 807 2
46600000 814 3
46700000 801 0
46800000 827 1
46900000 847 2
47000000 851 2
47100000 856 1
