iter A R
0 0 0
1000 0 0
2000 1 0
3000 2 0
4000 3 0
5000 3 0
6000 3 0
7000 3 0
8000 6 0
9000 8 0
10000 8 0
11000 9 0
12000 11 0
13000 12 0
14000 14 0
15000 14 0
16000 15 0
17000 17 0
18000 18 0
19000 18 0
20000 19 0
21000 22 0
22000 26 0
23000 33 0
24000 38 0
25000 50 0
26000 54 0
27000 60 0
28000 69 0
29000 73 0
30000 77 0
31000 81 0
32000 86 0
33000 88 0
34000 87 0
35000 91 0
36000 90 0
37000 91 0
38000 93 0
39000 96 0
40000 98 0
41000 107 0
42000 122 0
43000 138 1
44000 150 1
45000 161 0
46000 185 0
47000 205 0
48000 227 0
49000 248 0
50000 271 0
51000 294 0
52000 305 0
53000 325 0
54000 348 0
55000 382 0
56000 409 0
57000 430 0
58000 459 0
59000 480 0
60000 496 0
61000 506 0
62000 520 0
63000 528 0
64000 537 0
65000 550 0
66000 560 0
67000 568 1
68000 572 1
69000 578 0
70000 586 0
71000 593 0
72000 598 0
73000 606 0
74000 618 0
75000 630 0
76000 653 0
77000 662 0
78000 675 0
79000 688 0
80000 696 0
81000 705 0
82000 726 0
83000 745 0
84000 754 1
85000 762 0
86000 787 0
87000 803 1
88000 825 0
89000 829 0
90000 840 1
91000 853 2
92000 856 0
93000 868 0
94000 873 0
95000 882 1
96000 885 0
97000 895 1
98000 890 0
99000 891 0
100000 894 1
101000 895 0
102000 908 0
103000 911 0
104000 914 0
105000 922 0
106000 929 0
107000 933 0
108000 946 0
109000 954 0
110000 969 1
111000 965 0
112000 983 0
113000 993 2
114000 996 0
115000 1004 0
116000 1014 0
117000 1031 0
118000 1048 1
119000 1053 1
120000 1066 2
121000 1080 1
122000 1084 1
123000 1091 0
124000 1092 1
125000 1113 0
126000 1120 1
127000 1130 1
128000 1127 0
129000 1133 0
130000 1146 0
131000 1159 1
132000 1159 1
133000 1165 0
134000 1172 0
135000 1178 0
136000 1179 0
137000 1179 0
138000 1198 1
139000 1197 1
140000 1196 0
141000 1194 0
142000 1202 0
143000 1206 1
144000 1214 0
145000 1231 2
146000 1230 0
147000 1230 1
148000 1233 0
149000 1233 0
150000 1234 2
151000 1245 1
152000 1248 1
153000 1258 1
154000 1264 1
155000 1280 0
156000 1294 0
157000 1297 0
158000 1314 0
159000 1316 0
160000 1317 0
161000 1333 0
162000 1341 0
163000 1348 0
164000 1354 0
165000 1350 0
166000 1352 1
167000 1347 1
168000 1347 1
169000 1346 0
170000 1353 0
171000 1367 1
172000 1371 1
173000 1363 1
174000 1360 1
175000 1360 0
176000 1346 0
177000 1338 0
178000 1341 1
179000 1335 0
180000 1330 0
181000 1332 0
182000 1315 0
183000 1313 1
184000 1313 1
185000 1318 0
186000 1317 1
187000 1314 1
188000 1309 0
189000 1302 0
190000 1307 0
191000 1307 1
192000 1302 1
193000 1300 2
194000 1299 1
195000 1301 0
196000 1306 0
197000 1323 0
198000 1330 0
199000 1331 3
200000 1341 0
201000 1353 1
202000 1359 0
203000 1355 2
204000 1357 0
205000 1368 1
206000 1366 0
207000 1371 1
208000 1378 2
209000 1382 0
210000 1384 0
211000 1385 0
212000 1394 0
213000 1401 1
214000 1413 0
215000 1416 1
216000 1425 1
217000 1424 0
218000 1426 0
219000 1438 2
220000 1437 1
221000 1443 0
222000 1437 0
223000 1432 0
224000 1434 0
225000 1435 0
226000 1449 1
227000 1447 0
228000 1449 2
229000 1453 0
230000 1450 1
231000 1460 0
232000 1458 0
233000 1472 0
234000 1467 1
235000 1478 0
236000 1480 1
237000 1479 0
238000 1476 0
239000 1495 0
240000 1505 0
241000 1513 0
242000 1514 1
243000 1510 1
244000 1515 1
245000 1517 0
246000 1519 1
247000 1524 1
248000 1519 0
