	time(s)		A (um-2)
	0		1000
   1.0000000e-09   9.9999693e+02
   1.0233166e-09   9.9999686e+02
   1.0471768e-09   9.9999679e+02
   1.0715934e-09   9.9999671e+02
   1.0965793e-09   9.9999663e+02
   1.1221478e-09   9.9999656e+02
   1.1483124e-09   9.9999647e+02
   1.1750871e-09   9.9999639e+02
   1.2024861e-09   9.9999631e+02
   1.2305240e-09   9.9999622e+02
   1.2592156e-09   9.9999613e+02
   1.2885762e-09   9.9999604e+02
   1.3186214e-09   9.9999595e+02
   1.3493671e-09   9.9999586e+02
   1.3808298e-09   9.9999576e+02
   1.4130260e-09   9.9999566e+02
   1.4459729e-09   9.9999556e+02
   1.4796881e-09   9.9999546e+02
   1.5141893e-09   9.9999535e+02
   1.5494950e-09   9.9999524e+02
   1.5856240e-09   9.9999513e+02
   1.6225953e-09   9.9999502e+02
   1.6604287e-09   9.9999490e+02
   1.6991442e-09   9.9999478e+02
   1.7387624e-09   9.9999466e+02
   1.7793044e-09   9.9999454e+02
   1.8207917e-09   9.9999441e+02
   1.8632463e-09   9.9999428e+02
   1.9066908e-09   9.9999415e+02
   1.9511483e-09   9.9999401e+02
   1.9966425e-09   9.9999387e+02
   2.0431973e-09   9.9999373e+02
   2.0908377e-09   9.9999358e+02
   2.1395889e-09   9.9999343e+02
   2.1894768e-09   9.9999328e+02
   2.2405279e-09   9.9999312e+02
   2.2927693e-09   9.9999296e+02
   2.3462288e-09   9.9999280e+02
   2.4009349e-09   9.9999263e+02
   2.4569165e-09   9.9999246e+02
   2.5142033e-09   9.9999228e+02
   2.5728260e-09   9.9999210e+02
   2.6328155e-09   9.9999192e+02
   2.6942037e-09   9.9999173e+02
   2.7570233e-09   9.9999154e+02
   2.8213077e-09   9.9999134e+02
   2.8870909e-09   9.9999114e+02
   2.9544080e-09   9.9999093e+02
   3.0232947e-09   9.9999072e+02
   3.0937876e-09   9.9999050e+02
   3.1659241e-09   9.9999028e+02
   3.2397426e-09   9.9999005e+02
   3.3152823e-09   9.9998982e+02
   3.3925834e-09   9.9998958e+02
   3.4716868e-09   9.9998934e+02
   3.5526347e-09   9.9998909e+02
   3.6354700e-09   9.9998884e+02
   3.7202367e-09   9.9998858e+02
   3.8069799e-09   9.9998831e+02
   3.8957456e-09   9.9998804e+02
   3.9865811e-09   9.9998776e+02
   4.0795345e-09   9.9998748e+02
   4.1746553e-09   9.9998718e+02
   4.2719940e-09   9.9998689e+02
   4.3716022e-09   9.9998658e+02
   4.4735331e-09   9.9998627e+02
   4.5778405e-09   9.9998595e+02
   4.6845801e-09   9.9998562e+02
   4.7938085e-09   9.9998528e+02
   4.9055837e-09   9.9998494e+02
   5.0199651e-09   9.9998459e+02
   5.1370135e-09   9.9998423e+02
   5.2567911e-09   9.9998386e+02
   5.3793615e-09   9.9998349e+02
   5.5047898e-09   9.9998310e+02
   5.6331427e-09   9.9998271e+02
   5.7644883e-09   9.9998230e+02
   5.8988964e-09   9.9998189e+02
   6.0364385e-09   9.9998147e+02
   6.1771876e-09   9.9998104e+02
   6.3212185e-09   9.9998059e+02
   6.4686077e-09   9.9998014e+02
   6.6194335e-09   9.9997968e+02
   6.7737760e-09   9.9997920e+02
   6.9317173e-09   9.9997872e+02
   7.0933412e-09   9.9997822e+02
   7.2587337e-09   9.9997772e+02
   7.4279825e-09   9.9997720e+02
   7.6011776e-09   9.9997666e+02
   7.7784111e-09   9.9997612e+02
   7.9597770e-09   9.9997556e+02
   8.1453718e-09   9.9997499e+02
   8.3352940e-09   9.9997441e+02
   8.5296445e-09   9.9997381e+02
   8.7285266e-09   9.9997320e+02
   8.9320460e-09   9.9997258e+02
   9.1403107e-09   9.9997194e+02
   9.3534315e-09   9.9997129e+02
   9.5715215e-09   9.9997062e+02
   9.7946967e-09   9.9996993e+02
   1.0023075e-08   9.9996923e+02
   1.0256779e-08   9.9996851e+02
   1.0495932e-08   9.9996778e+02
   1.0740662e-08   9.9996703e+02
   1.0991097e-08   9.9996626e+02
   1.1247372e-08   9.9996547e+02
   1.1509622e-08   9.9996467e+02
   1.1777987e-08   9.9996384e+02
   1.2052609e-08   9.9996300e+02
   1.2333635e-08   9.9996214e+02
   1.2621213e-08   9.9996125e+02
   1.2915497e-08   9.9996035e+02
   1.3216642e-08   9.9995943e+02
   1.3524809e-08   9.9995848e+02
   1.3840161e-08   9.9995751e+02
   1.4162866e-08   9.9995652e+02
   1.4493096e-08   9.9995551e+02
   1.4831025e-08   9.9995447e+02
   1.5176834e-08   9.9995341e+02
   1.5530706e-08   9.9995232e+02
   1.5892829e-08   9.9995121e+02
   1.6263395e-08   9.9995007e+02
   1.6642602e-08   9.9994891e+02
   1.7030650e-08   9.9994772e+02
   1.7427747e-08   9.9994650e+02
   1.7834102e-08   9.9994525e+02
   1.8249932e-08   9.9994398e+02
   1.8675458e-08   9.9994267e+02
   1.9110906e-08   9.9994133e+02
   1.9556507e-08   9.9993997e+02
   2.0012498e-08   9.9993857e+02
   2.0479121e-08   9.9993713e+02
   2.0956624e-08   9.9993567e+02
   2.1445261e-08   9.9993417e+02
   2.1945291e-08   9.9993263e+02
   2.2456980e-08   9.9993106e+02
   2.2980600e-08   9.9992945e+02
   2.3516429e-08   9.9992781e+02
   2.4064752e-08   9.9992613e+02
   2.4625859e-08   9.9992440e+02
   2.5200050e-08   9.9992264e+02
   2.5787629e-08   9.9992084e+02
   2.6388908e-08   9.9991899e+02
   2.7004207e-08   9.9991710e+02
   2.7633853e-08   9.9991517e+02
   2.8278180e-08   9.9991319e+02
   2.8937530e-08   9.9991117e+02
   2.9612254e-08   9.9990910e+02
   3.0302711e-08   9.9990698e+02
   3.1009266e-08   9.9990481e+02
   3.1732296e-08   9.9990259e+02
   3.2472185e-08   9.9990032e+02
   3.3229325e-08   9.9989800e+02
   3.4004119e-08   9.9989562e+02
   3.4796979e-08   9.9989318e+02
   3.5608326e-08   9.9989069e+02
   3.6438590e-08   9.9988815e+02
   3.7288213e-08   9.9988554e+02
   3.8157647e-08   9.9988287e+02
   3.9047352e-08   9.9988014e+02
   3.9957803e-08   9.9987734e+02
   4.0889482e-08   9.9987449e+02
   4.1842885e-08   9.9987156e+02
   4.2818518e-08   9.9986856e+02
   4.3816899e-08   9.9986550e+02
   4.4838559e-08   9.9986236e+02
   4.5884041e-08   9.9985916e+02
   4.6953900e-08   9.9985587e+02
   4.8048704e-08   9.9985251e+02
   4.9169036e-08   9.9984907e+02
   5.0315489e-08   9.9984556e+02
   5.1488675e-08   9.9984195e+02
   5.2689214e-08   9.9983827e+02
   5.3917746e-08   9.9983450e+02
   5.5174924e-08   9.9983064e+02
   5.6461414e-08   9.9982669e+02
   5.7777901e-08   9.9982265e+02
   5.9125084e-08   9.9981852e+02
   6.0503679e-08   9.9981429e+02
   6.1914418e-08   9.9980996e+02
   6.3358050e-08   9.9980553e+02
   6.4835343e-08   9.9980100e+02
   6.6347081e-08   9.9979636e+02
   6.7894068e-08   9.9979161e+02
   6.9477125e-08   9.9978675e+02
   7.1097094e-08   9.9978178e+02
   7.2754835e-08   9.9977669e+02
   7.4451229e-08   9.9977149e+02
   7.6187177e-08   9.9976616e+02
   7.7963601e-08   9.9976071e+02
   7.9781446e-08   9.9975513e+02
   8.1641676e-08   9.9974942e+02
   8.3545281e-08   9.9974358e+02
   8.5493271e-08   9.9973760e+02
   8.7486681e-08   9.9973149e+02
   8.9526571e-08   9.9972523e+02
   9.1614025e-08   9.9971882e+02
   9.3750150e-08   9.9971227e+02
   9.5936083e-08   9.9970556e+02
   9.8172984e-08   9.9969870e+02
   1.0046204e-07   9.9969168e+02
   1.0280447e-07   9.9968449e+02
   1.0520152e-07   9.9967714e+02
   1.0765446e-07   9.9966961e+02
   1.1016459e-07   9.9966191e+02
   1.1273326e-07   9.9965403e+02
   1.1536181e-07   9.9964596e+02
   1.1805165e-07   9.9963771e+02
   1.2080421e-07   9.9962927e+02
   1.2362095e-07   9.9962063e+02
   1.2650337e-07   9.9961179e+02
   1.2945300e-07   9.9960274e+02
   1.3247140e-07   9.9959348e+02
   1.3556018e-07   9.9958400e+02
   1.3872098e-07   9.9957431e+02
   1.4195548e-07   9.9956439e+02
   1.4526539e-07   9.9955423e+02
   1.4865248e-07   9.9954385e+02
   1.5211855e-07   9.9953321e+02
   1.5566544e-07   9.9952234e+02
   1.5929502e-07   9.9951120e+02
   1.6300924e-07   9.9949981e+02
