	time(s)		<A>		Std(A)
   0.0000000e+00   1.0000000e+03   0.0000000e+00
   5.0000000e-05   8.5452083e+02   1.1877011e+01
   1.0000000e-04   7.6077083e+02   1.2251339e+01
   1.5000000e-04   6.8925000e+02   1.3482061e+01
   2.0000000e-04   6.3331250e+02   1.2005595e+01
   2.5000000e-04   5.8789583e+02   1.2339591e+01
   3.0000000e-04   5.4891667e+02   1.2977613e+01
   3.5000000e-04   5.1570833e+02   1.1743642e+01
   4.0000000e-04   4.8802083e+02   1.1554661e+01
   4.5000000e-04   4.6320833e+02   1.1716434e+01
   5.0000000e-04   4.4085417e+02   1.0744597e+01
   5.5000000e-04   4.2060417e+02   1.1444109e+01
   6.0000000e-04   4.0262500e+02   1.0294855e+01
   6.5000000e-04   3.8618750e+02   1.0548079e+01
   7.0000000e-04   3.7108333e+02   1.0858536e+01
   7.5000000e-04   3.5758333e+02   1.0630813e+01
   8.0000000e-04   3.4483333e+02   1.1124696e+01
   8.5000000e-04   3.3318750e+02   1.0222329e+01
   9.0000000e-04   3.2285417e+02   1.0948603e+01
   9.5000000e-04   3.1310417e+02   1.0831867e+01
   1.0000000e-03   3.0387500e+02   1.0566154e+01
   1.0500000e-03   2.9520833e+02   1.1104836e+01
   1.1000000e-03   2.8693750e+02   1.0779031e+01
   1.1500000e-03   2.7989583e+02   1.1132165e+01
   1.2000000e-03   2.7270833e+02   1.0629062e+01
   1.2500000e-03   2.6652083e+02   1.0410693e+01
   1.3000000e-03   2.6072917e+02   1.0493645e+01
   1.3500000e-03   2.5389583e+02   1.0557320e+01
   1.4000000e-03   2.4875000e+02   1.0389233e+01
   1.4500000e-03   2.4375000e+02   1.0313181e+01
   1.5000000e-03   2.3825000e+02   1.0119499e+01
   1.5500000e-03   2.3358333e+02   9.9655435e+00
   1.6000000e-03   2.2872917e+02   9.6331422e+00
   1.6500000e-03   2.2389583e+02   9.6496932e+00
   1.7000000e-03   2.2012500e+02   9.7645146e+00
   1.7500000e-03   2.1595833e+02   9.6490730e+00
   1.8000000e-03   2.1220833e+02   9.7870047e+00
   1.8500000e-03   2.0870833e+02   9.7477948e+00
   1.9000000e-03   2.0543750e+02   9.2573289e+00
   1.9500000e-03   2.0204167e+02   9.0176148e+00
   2.0000000e-03   1.9839583e+02   9.4862489e+00
   2.0500000e-03   1.9518750e+02   9.4049698e+00
   2.1000000e-03   1.9208333e+02   8.9605123e+00
   2.1500000e-03   1.8918750e+02   8.6729127e+00
   2.2000000e-03   1.8652083e+02   8.7640212e+00
   2.2500000e-03   1.8418750e+02   8.3300437e+00
   2.3000000e-03   1.8172917e+02   8.4065314e+00
   2.3500000e-03   1.7893750e+02   9.0985298e+00
   2.4000000e-03   1.7641667e+02   8.6093303e+00
   2.4500000e-03   1.7387500e+02   8.3376230e+00
   2.5000000e-03   1.7139583e+02   8.5421099e+00
   2.5500000e-03   1.6937500e+02   8.8525150e+00
   2.6000000e-03   1.6731250e+02   8.7571399e+00
   2.6500000e-03   1.6510417e+02   8.8299288e+00
   2.7000000e-03   1.6320833e+02   8.9703017e+00
   2.7500000e-03   1.6164583e+02   8.9786735e+00
   2.8000000e-03   1.5983333e+02   8.7429810e+00
   2.8500000e-03   1.5787500e+02   8.4239400e+00
   2.9000000e-03   1.5639583e+02   7.9459332e+00
   2.9500000e-03   1.5460417e+02   7.7370058e+00
   3.0000000e-03   1.5316667e+02   7.9608973e+00
   3.0500000e-03   1.5168750e+02   8.2672289e+00
   3.1000000e-03   1.5012500e+02   8.3808927e+00
   3.1500000e-03   1.4839583e+02   8.3455673e+00
   3.2000000e-03   1.4672917e+02   8.2558544e+00
   3.2500000e-03   1.4504167e+02   8.1474662e+00
   3.3000000e-03   1.4343750e+02   7.9437015e+00
   3.3500000e-03   1.4185417e+02   8.0582707e+00
   3.4000000e-03   1.4047917e+02   8.0371202e+00
   3.4500000e-03   1.3914583e+02   7.7815646e+00
   3.5000000e-03   1.3754167e+02   7.6351882e+00
   3.5500000e-03   1.3627083e+02   7.7204883e+00
   3.6000000e-03   1.3502083e+02   7.6783464e+00
   3.6500000e-03   1.3372917e+02   7.5561433e+00
   3.7000000e-03   1.3247917e+02   7.4804414e+00
   3.7500000e-03   1.3162500e+02   7.2629195e+00
   3.8000000e-03   1.3054167e+02   7.1991676e+00
   3.8500000e-03   1.2927083e+02   6.9976883e+00
   3.9000000e-03   1.2818750e+02   6.8156773e+00
   3.9500000e-03   1.2735417e+02   7.0090810e+00
   4.0000000e-03   1.2629167e+02   7.1902959e+00
   4.0500000e-03   1.2541667e+02   7.2752373e+00
   4.1000000e-03   1.2425000e+02   7.4648111e+00
   4.1500000e-03   1.2304167e+02   7.3367577e+00
   4.2000000e-03   1.2206250e+02   7.5439316e+00
   4.2500000e-03   1.2145833e+02   7.4547096e+00
   4.3000000e-03   1.2047917e+02   7.5031613e+00
   4.3500000e-03   1.1920833e+02   7.3570297e+00
   4.4000000e-03   1.1862500e+02   7.6147254e+00
   4.4500000e-03   1.1770833e+02   7.7842130e+00
   4.5000000e-03   1.1704167e+02   7.7978675e+00
   4.5500000e-03   1.1604167e+02   7.6741022e+00
   4.6000000e-03   1.1539583e+02   7.5589586e+00
   4.6500000e-03   1.1462500e+02   7.3067296e+00
   4.7000000e-03   1.1375000e+02   7.3412272e+00
   4.7500000e-03   1.1295833e+02   7.2902101e+00
   4.8000000e-03   1.1225000e+02   7.2801099e+00
   4.8500000e-03   1.1172917e+02   7.3128845e+00
   4.9000000e-03   1.1116667e+02   7.2415272e+00
   4.9500000e-03   1.1066667e+02   7.2268216e+00
   5.0000000e-03   1.0975000e+02   7.1354673e+00
   5.0500000e-03   1.0914583e+02   7.2169705e+00
   5.1000000e-03   1.0845833e+02   7.1843753e+00
   5.1500000e-03   1.0775000e+02   7.0905991e+00
   5.2000000e-03   1.0731250e+02   7.0474267e+00
   5.2500000e-03   1.0683333e+02   7.0237692e+00
   5.3000000e-03   1.0595833e+02   6.8446542e+00
   5.3500000e-03   1.0489583e+02   6.8796325e+00
   5.4000000e-03   1.0406250e+02   6.7836043e+00
   5.4500000e-03   1.0343750e+02   6.8693158e+00
   5.5000000e-03   1.0308333e+02   6.7314231e+00
   5.5500000e-03   1.0260417e+02   6.7406029e+00
   5.6000000e-03   1.0210417e+02   6.8361977e+00
   5.6500000e-03   1.0143750e+02   6.8600175e+00
   5.7000000e-03   1.0085417e+02   6.6010624e+00
   5.7500000e-03   1.0050000e+02   6.5946464e+00
   5.8000000e-03   9.9916667e+01   6.5811896e+00
   5.8500000e-03   9.9541667e+01   6.6842410e+00
   5.9000000e-03   9.9187500e+01   6.7434957e+00
   5.9500000e-03   9.8729167e+01   6.3872865e+00
   6.0000000e-03   9.8312500e+01   6.4318233e+00
   6.0500000e-03   9.7770833e+01   6.4913677e+00
   6.1000000e-03   9.7583333e+01   6.4769093e+00
   6.1500000e-03   9.7125000e+01   6.5448534e+00
   6.2000000e-03   9.6437500e+01   6.4177488e+00
   6.2500000e-03   9.6187500e+01   6.4069651e+00
   6.3000000e-03   9.5583333e+01   6.5325155e+00
   6.3500000e-03   9.4958333e+01   6.4871668e+00
   6.4000000e-03   9.4500000e+01   6.5395686e+00
   6.4500000e-03   9.4229167e+01   6.3789534e+00
   6.5000000e-03   9.3708333e+01   6.5133524e+00
   6.5500000e-03   9.3270833e+01   6.5191684e+00
   6.6000000e-03   9.2875000e+01   6.2454239e+00
   6.6500000e-03   9.2333333e+01   6.4654016e+00
   6.7000000e-03   9.1729167e+01   6.5938062e+00
   6.7500000e-03   9.1458333e+01   6.6714965e+00
   6.8000000e-03   9.1187500e+01   6.5999879e+00
   6.8500000e-03   9.0750000e+01   6.7240439e+00
   6.9000000e-03   9.0333333e+01   6.6790665e+00
   6.9500000e-03   9.0062500e+01   6.8832397e+00
   7.0000000e-03   8.9625000e+01   6.9607563e+00
   7.0500000e-03   8.9291667e+01   6.8570769e+00
   7.1000000e-03   8.8958333e+01   6.9280753e+00
   7.1500000e-03   8.8500000e+01   6.9374101e+00
   7.2000000e-03   8.8104167e+01   6.8548463e+00
   7.2500000e-03   8.7583333e+01   6.7156006e+00
   7.3000000e-03   8.7333333e+01   6.8052962e+00
   7.3500000e-03   8.6979167e+01   6.8151570e+00
   7.4000000e-03   8.6854167e+01   6.8973926e+00
   7.4500000e-03   8.6520833e+01   6.8726705e+00
   7.5000000e-03   8.6208333e+01   7.0196027e+00
   7.5500000e-03   8.5979167e+01   7.0393713e+00
   7.6000000e-03   8.5625000e+01   7.1209161e+00
   7.6500000e-03   8.5312500e+01   7.1374238e+00
   7.7000000e-03   8.4895833e+01   7.1733537e+00
   7.7500000e-03   8.4583333e+01   7.1275114e+00
   7.8000000e-03   8.4250000e+01   7.1563095e+00
   7.8500000e-03   8.3937500e+01   7.2329219e+00
   7.9000000e-03   8.3645833e+01   7.3643465e+00
   7.9500000e-03   8.3312500e+01   7.2791052e+00
   8.0000000e-03   8.3000000e+01   7.3049095e+00
   8.0500000e-03   8.2729167e+01   7.2808101e+00
   8.1000000e-03   8.2333333e+01   7.4099799e+00
   8.1500000e-03   8.2125000e+01   7.5811216e+00
   8.2000000e-03   8.1791667e+01   7.7183350e+00
   8.2500000e-03   8.1562500e+01   7.8004535e+00
   8.3000000e-03   8.1187500e+01   7.8541390e+00
   8.3500000e-03   8.0979167e+01   7.6700289e+00
   8.4000000e-03   8.0750000e+01   7.5975920e+00
   8.4500000e-03   8.0375000e+01   7.6925634e+00
   8.5000000e-03   8.0395833e+01   7.6317912e+00
   8.5500000e-03   8.0145833e+01   7.5849503e+00
   8.6000000e-03   8.0125000e+01   7.3849329e+00
   8.6500000e-03   7.9833333e+01   7.4357770e+00
   8.7000000e-03   7.9458333e+01   7.4831963e+00
   8.7500000e-03   7.9250000e+01   7.7143139e+00
   8.8000000e-03   7.9104167e+01   7.6331851e+00
   8.8500000e-03   7.8854167e+01   7.6741888e+00
   8.9000000e-03   7.8541667e+01   7.6296129e+00
   8.9500000e-03   7.8395833e+01   7.6317912e+00
   9.0000000e-03   7.8020833e+01   7.4704797e+00
   9.0500000e-03   7.7687500e+01   7.3315298e+00
   9.1000000e-03   7.7354167e+01   7.3527809e+00
   9.1500000e-03   7.7166667e+01   7.1914054e+00
   9.2000000e-03   7.6895833e+01   7.2059065e+00
   9.2500000e-03   7.6604167e+01   7.2250733e+00
   9.3000000e-03   7.6458333e+01   7.3396572e+00
   9.3500000e-03   7.6354167e+01   7.5582548e+00
   9.4000000e-03   7.6125000e+01   7.5360834e+00
   9.4500000e-03   7.5833333e+01   7.5718778e+00
   9.5000000e-03   7.5458333e+01   7.6713291e+00
   9.5500000e-03   7.5208333e+01   7.7787445e+00
   9.6000000e-03   7.5166667e+01   7.9689112e+00
   9.6500000e-03   7.4916667e+01   8.0367066e+00
   9.7000000e-03   7.4625000e+01   7.9563303e+00
   9.7500000e-03   7.4333333e+01   8.1144298e+00
   9.8000000e-03   7.4000000e+01   8.1056849e+00
   9.8500000e-03   7.3833333e+01   8.3010723e+00
   9.9000000e-03   7.3729167e+01   8.2093346e+00
   9.9500000e-03   7.3562500e+01   8.0289536e+00
   1.0000000e-02   7.3312500e+01   8.1505939e+00
   1.0050000e-02   7.3000000e+01   8.1449632e+00
   1.0100000e-02   7.2875000e+01   8.1230562e+00
   1.0150000e-02   7.2520833e+01   8.0951511e+00
   1.0200000e-02   7.2312500e+01   8.0613505e+00
   1.0250000e-02   7.2270833e+01   8.0258613e+00
   1.0300000e-02   7.1916667e+01   8.0287604e+00
   1.0350000e-02   7.1916667e+01   7.9595609e+00
   1.0400000e-02   7.1666667e+01   7.8261246e+00
   1.0450000e-02   7.1416667e+01   7.8166035e+00
   1.0500000e-02   7.1437500e+01   7.8818570e+00
   1.0550000e-02   7.1229167e+01   7.6970278e+00
   1.0600000e-02   7.1187500e+01   7.4509924e+00
   1.0650000e-02   7.1020833e+01   7.5215706e+00
   1.0700000e-02   7.0770833e+01   7.5406405e+00
   1.0750000e-02   7.0708333e+01   7.6128624e+00
   1.0800000e-02   7.0604167e+01   7.6984098e+00
   1.0850000e-02   7.0562500e+01   7.7649136e+00
   1.0900000e-02   7.0437500e+01   7.6433986e+00
   1.0950000e-02   7.0145833e+01   7.8088591e+00
   1.1000000e-02   7.0041667e+01   7.8684891e+00
   1.1050000e-02   6.9791667e+01   7.8954830e+00
   1.1100000e-02   6.9416667e+01   7.8897546e+00
   1.1150000e-02   6.9083333e+01   7.8220456e+00
   1.1200000e-02   6.8833333e+01   7.5746872e+00
   1.1250000e-02   6.8791667e+01   7.6100671e+00
   1.1300000e-02   6.8604167e+01   7.6429347e+00
   1.1350000e-02   6.8416667e+01   7.6598798e+00
   1.1400000e-02   6.8270833e+01   7.6679482e+00
   1.1450000e-02   6.8166667e+01   7.7055750e+00
   1.1500000e-02   6.8145833e+01   7.7018638e+00
   1.1550000e-02   6.7895833e+01   7.7521159e+00
   1.1600000e-02   6.7645833e+01   7.5919599e+00
   1.1650000e-02   6.7645833e+01   7.5328771e+00
   1.1700000e-02   6.7479167e+01   7.5286392e+00
   1.1750000e-02   6.7375000e+01   7.6537433e+00
   1.1800000e-02   6.6979167e+01   7.5074136e+00
   1.1850000e-02   6.6833333e+01   7.3812106e+00
   1.1900000e-02   6.6708333e+01   7.5539431e+00
   1.1950000e-02   6.6666667e+01   7.5437260e+00
   1.2000000e-02   6.6479167e+01   7.5596622e+00
   1.2050000e-02   6.6312500e+01   7.4894429e+00
   1.2100000e-02   6.6104167e+01   7.4383697e+00
   1.2150000e-02   6.6020833e+01   7.5807415e+00
   1.2200000e-02   6.5875000e+01   7.6648549e+00
   1.2250000e-02   6.5666667e+01   7.6529325e+00
   1.2300000e-02   6.5437500e+01   7.5762963e+00
   1.2350000e-02   6.5479167e+01   7.5399351e+00
   1.2400000e-02   6.5291667e+01   7.7677959e+00
   1.2450000e-02   6.5229167e+01   7.6887306e+00
   1.2500000e-02   6.4937500e+01   7.7223253e+00
   1.2550000e-02   6.4916667e+01   7.8356342e+00
   1.2600000e-02   6.4770833e+01   7.6248183e+00
   1.2650000e-02   6.4625000e+01   7.6203116e+00
   1.2700000e-02   6.4604167e+01   7.6010626e+00
   1.2750000e-02   6.4479167e+01   7.6241207e+00
   1.2800000e-02   6.4354167e+01   7.6838864e+00
   1.2850000e-02   6.4125000e+01   7.7394403e+00
   1.2900000e-02   6.4083333e+01   7.5901205e+00
   1.2950000e-02   6.4020833e+01   7.5666952e+00
   1.3000000e-02   6.3812500e+01   7.5305230e+00
   1.3050000e-02   6.3645833e+01   7.6143470e+00
   1.3100000e-02   6.3541667e+01   7.7238463e+00
   1.3150000e-02   6.3416667e+01   7.7784025e+00
   1.3200000e-02   6.3250000e+01   7.6922177e+00
   1.3250000e-02   6.3229167e+01   7.7356307e+00
   1.3300000e-02   6.3083333e+01   7.9354667e+00
   1.3350000e-02   6.2916667e+01   7.9461842e+00
   1.3400000e-02   6.2770833e+01   7.9231403e+00
   1.3450000e-02   6.2708333e+01   8.0237900e+00
   1.3500000e-02   6.2687500e+01   7.9577508e+00
   1.3550000e-02   6.2604167e+01   7.7342553e+00
   1.3600000e-02   6.2500000e+01   7.8197785e+00
   1.3650000e-02   6.2312500e+01   7.9309688e+00
   1.3700000e-02   6.2104167e+01   7.8692496e+00
   1.3750000e-02   6.2020833e+01   7.9157521e+00
   1.3800000e-02   6.1875000e+01   7.9750275e+00
   1.3850000e-02   6.1791667e+01   8.0105206e+00
   1.3900000e-02   6.1895833e+01   7.9499487e+00
   1.3950000e-02   6.1854167e+01   8.0265241e+00
   1.4000000e-02   6.1854167e+01   8.1397098e+00
   1.4050000e-02   6.1750000e+01   8.1201090e+00
   1.4100000e-02   6.1437500e+01   8.0077257e+00
   1.4150000e-02   6.1375000e+01   8.0388022e+00
   1.4200000e-02   6.1354167e+01   7.9613149e+00
   1.4250000e-02   6.1270833e+01   7.9486104e+00
   1.4300000e-02   6.1145833e+01   8.1475478e+00
   1.4350000e-02   6.1145833e+01   8.1475478e+00
   1.4400000e-02   6.1104167e+01   8.3849906e+00
   1.4450000e-02   6.1000000e+01   8.2694001e+00
   1.4500000e-02   6.0979167e+01   8.2526323e+00
   1.4550000e-02   6.0770833e+01   8.0826570e+00
   1.4600000e-02   6.0666667e+01   8.0538965e+00
   1.4650000e-02   6.0625000e+01   8.1439836e+00
   1.4700000e-02   6.0604167e+01   8.2119259e+00
   1.4750000e-02   6.0583333e+01   8.2147592e+00
