	time(s)		A copies
   1.0000000e-09   1.0000000e+05
   1.0233166e-09   9.9999998e+04
   1.0471768e-09   9.9999996e+04
   1.0715934e-09   9.9999995e+04
   1.0965793e-09   9.9999993e+04
   1.1221478e-09   9.9999991e+04
   1.1483124e-09   9.9999989e+04
   1.1750871e-09   9.9999987e+04
   1.2024861e-09   9.9999984e+04
   1.2305240e-09   9.9999982e+04
   1.2592156e-09   9.9999980e+04
   1.2885762e-09   9.9999978e+04
   1.3186214e-09   9.9999976e+04
   1.3493671e-09   9.9999973e+04
   1.3808298e-09   9.9999971e+04
   1.4130260e-09   9.9999968e+04
   1.4459729e-09   9.9999966e+04
   1.4796881e-09   9.9999963e+04
   1.5141893e-09   9.9999961e+04
   1.5494950e-09   9.9999958e+04
   1.5856240e-09   9.9999955e+04
   1.6225953e-09   9.9999952e+04
   1.6604287e-09   9.9999949e+04
   1.6991442e-09   9.9999946e+04
   1.7387624e-09   9.9999943e+04
   1.7793044e-09   9.9999940e+04
   1.8207917e-09   9.9999937e+04
   1.8632463e-09   9.9999934e+04
   1.9066908e-09   9.9999930e+04
   1.9511483e-09   9.9999927e+04
   1.9966425e-09   9.9999924e+04
   2.0431973e-09   9.9999920e+04
   2.0908377e-09   9.9999916e+04
   2.1395889e-09   9.9999913e+04
   2.1894768e-09   9.9999909e+04
   2.2405279e-09   9.9999905e+04
   2.2927693e-09   9.9999901e+04
   2.3462288e-09   9.9999897e+04
   2.4009349e-09   9.9999892e+04
   2.4569165e-09   9.9999888e+04
   2.5142033e-09   9.9999884e+04
   2.5728260e-09   9.9999879e+04
   2.6328155e-09   9.9999875e+04
   2.6942037e-09   9.9999870e+04
   2.7570233e-09   9.9999865e+04
   2.8213077e-09   9.9999860e+04
   2.8870909e-09   9.9999855e+04
   2.9544080e-09   9.9999850e+04
   3.0232947e-09   9.9999845e+04
   3.0937876e-09   9.9999839e+04
   3.1659241e-09   9.9999834e+04
   3.2397426e-09   9.9999828e+04
   3.3152823e-09   9.9999822e+04
   3.3925834e-09   9.9999816e+04
   3.4716868e-09   9.9999810e+04
   3.5526347e-09   9.9999804e+04
   3.6354700e-09   9.9999798e+04
   3.7202367e-09   9.9999791e+04
   3.8069799e-09   9.9999785e+04
   3.8957456e-09   9.9999778e+04
   3.9865811e-09   9.9999771e+04
   4.0795345e-09   9.9999764e+04
   4.1746553e-09   9.9999756e+04
   4.2719940e-09   9.9999749e+04
   4.3716022e-09   9.9999741e+04
   4.4735331e-09   9.9999733e+04
   4.5778405e-09   9.9999725e+04
   4.6845801e-09   9.9999717e+04
   4.7938085e-09   9.9999709e+04
   4.9055837e-09   9.9999700e+04
   5.0199651e-09   9.9999691e+04
   5.1370135e-09   9.9999682e+04
   5.2567911e-09   9.9999673e+04
   5.3793615e-09   9.9999664e+04
   5.5047898e-09   9.9999654e+04
   5.6331427e-09   9.9999644e+04
   5.7644883e-09   9.9999634e+04
   5.8988964e-09   9.9999624e+04
   6.0364385e-09   9.9999613e+04
   6.1771876e-09   9.9999603e+04
   6.3212185e-09   9.9999592e+04
   6.4686077e-09   9.9999580e+04
   6.6194335e-09   9.9999569e+04
   6.7737760e-09   9.9999557e+04
   6.9317173e-09   9.9999545e+04
   7.0933412e-09   9.9999532e+04
   7.2587337e-09   9.9999520e+04
   7.4279825e-09   9.9999507e+04
   7.6011776e-09   9.9999493e+04
   7.7784111e-09   9.9999480e+04
   7.9597770e-09   9.9999466e+04
   8.1453718e-09   9.9999452e+04
   8.3352940e-09   9.9999437e+04
   8.5296445e-09   9.9999422e+04
   8.7285266e-09   9.9999407e+04
   8.9320460e-09   9.9999391e+04
   9.1403107e-09   9.9999375e+04
   9.3534315e-09   9.9999359e+04
   9.5715215e-09   9.9999342e+04
   9.7946967e-09   9.9999325e+04
   1.0023075e-08   9.9999307e+04
   1.0256779e-08   9.9999290e+04
   1.0495932e-08   9.9999271e+04
   1.0740662e-08   9.9999252e+04
   1.0991097e-08   9.9999233e+04
   1.1247372e-08   9.9999214e+04
   1.1509622e-08   9.9999193e+04
   1.1777987e-08   9.9999173e+04
   1.2052609e-08   9.9999152e+04
   1.2333635e-08   9.9999130e+04
   1.2621213e-08   9.9999108e+04
   1.2915497e-08   9.9999085e+04
   1.3216642e-08   9.9999062e+04
   1.3524809e-08   9.9999039e+04
   1.3840161e-08   9.9999015e+04
   1.4162866e-08   9.9998990e+04
   1.4493096e-08   9.9998964e+04
   1.4831025e-08   9.9998938e+04
   1.5176834e-08   9.9998912e+04
   1.5530706e-08   9.9998885e+04
   1.5892829e-08   9.9998857e+04
   1.6263395e-08   9.9998829e+04
   1.6642602e-08   9.9998799e+04
   1.7030650e-08   9.9998770e+04
   1.7427747e-08   9.9998739e+04
   1.7834102e-08   9.9998708e+04
   1.8249932e-08   9.9998676e+04
   1.8675458e-08   9.9998643e+04
   1.9110906e-08   9.9998610e+04
   1.9556507e-08   9.9998576e+04
   2.0012498e-08   9.9998541e+04
   2.0479121e-08   9.9998505e+04
   2.0956624e-08   9.9998468e+04
   2.1445261e-08   9.9998431e+04
   2.1945291e-08   9.9998392e+04
   2.2456980e-08   9.9998353e+04
   2.2980600e-08   9.9998313e+04
