	time(s)		A		time(s)		A		time(s)		A		time(s)		A		time(s)		A		time(s)		A		time(s)		A		time(s)		A		time(s)		A		time(s)		A	
   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05   0.0000000e+00   1.0000000e+05
   6.5392164e-09   9.9999000e+04   2.8184025e-10   9.9999000e+04   6.6186265e-09   9.9999000e+04   3.0829965e-08   9.9999000e+04   6.5617131e-09   9.9999000e+04   3.4302284e-09   9.9999000e+04   1.3862372e-08   9.9999000e+04   1.9668583e-09   9.9999000e+04   6.5392164e-09   9.9999000e+04   3.0297003e-08   9.9999000e+04
   1.4787594e-06   9.9899000e+04   1.3329454e-06   9.9899000e+04   1.3049603e-06   9.9899000e+04   1.2993138e-06   9.9899000e+04   1.5316663e-06   9.9899000e+04   1.5643884e-06   9.9899000e+04   1.4337120e-06   9.9899000e+04   1.3615054e-06   9.9899000e+04   1.4787594e-06   9.9899000e+04   1.4424624e-06   9.9899000e+04
   2.7953899e-06   9.9799000e+04   2.6383409e-06   9.9799000e+04   2.5751240e-06   9.9799000e+04   2.7896980e-06   9.9799000e+04   2.7612747e-06   9.9799000e+04   2.8821243e-06   9.9799000e+04   2.7623793e-06   9.9799000e+04   2.7345088e-06   9.9799000e+04   2.7953899e-06   9.9799000e+04   2.5843901e-06   9.9799000e+04
   4.0861391e-06   9.9699000e+04   4.0878498e-06   9.9699000e+04   3.7947655e-06   9.9699000e+04   3.8676862e-06   9.9699000e+04   3.9722892e-06   9.9699000e+04   4.0942021e-06   9.9699000e+04   4.2964649e-06   9.9699000e+04   3.8017032e-06   9.9699000e+04   4.0861391e-06   9.9699000e+04   3.8605570e-06   9.9699000e+04
   5.4884616e-06   9.9599000e+04   5.5496794e-06   9.9599000e+04   5.1143152e-06   9.9599000e+04   5.1677780e-06   9.9599000e+04   5.4352203e-06   9.9599000e+04   5.6016747e-06   9.9599000e+04   5.7415160e-06   9.9599000e+04   4.8783631e-06   9.9599000e+04   5.4884616e-06   9.9599000e+04   5.0795210e-06   9.9599000e+04
   6.7240892e-06   9.9499000e+04   6.8507667e-06   9.9499000e+04   6.4403333e-06   9.9499000e+04   6.6904730e-06   9.9499000e+04   6.6103478e-06   9.9499000e+04   6.9010896e-06   9.9499000e+04   6.9010522e-06   9.9499000e+04   6.0290095e-06   9.9499000e+04   6.7240892e-06   9.9499000e+04   6.2864549e-06   9.9499000e+04
   8.1387113e-06   9.9399000e+04   8.0642502e-06   9.9399000e+04   7.8374166e-06   9.9399000e+04   7.9852615e-06   9.9399000e+04   7.8945856e-06   9.9399000e+04   8.0249955e-06   9.9399000e+04   8.0468501e-06   9.9399000e+04   7.3653067e-06   9.9399000e+04   8.1387113e-06   9.9399000e+04   7.5168156e-06   9.9399000e+04
   9.4652272e-06   9.9299000e+04   9.4364671e-06   9.9299000e+04   9.2031093e-06   9.9299000e+04   9.0824396e-06   9.9299000e+04   9.3505820e-06   9.9299000e+04   9.2568737e-06   9.9299000e+04   9.5315710e-06   9.9299000e+04   8.5444715e-06   9.9299000e+04   9.4652272e-06   9.9299000e+04   9.0536538e-06   9.9299000e+04
   1.0700091e-05   9.9199000e+04   1.0703820e-05   9.9199000e+04   1.0575291e-05   9.9199000e+04   1.0361762e-05   9.9199000e+04   1.0447309e-05   9.9199000e+04   1.0472840e-05   9.9199000e+04   1.1114184e-05   9.9199000e+04   9.8304968e-06   9.9199000e+04   1.0700091e-05   9.9199000e+04   1.0391918e-05   9.9199000e+04
