	time (s)	A copies (not exactly 1e5 due to volume/conc precision)
   0.0000000e+00   1.0000173e+05
   1.0000000e-06   9.9925016e+04
   1.1800000e-06   9.9911220e+04
   1.3800000e-06   9.9895895e+04
   1.6300000e-06   9.9876746e+04
   1.9200000e-06   9.9854542e+04
   2.2600000e-06   9.9828523e+04
   2.6600000e-06   9.9797930e+04
   3.1300000e-06   9.9762006e+04
   3.6800000e-06   9.9720001e+04
   4.3300000e-06   9.9670404e+04
   5.0900000e-06   9.9612476e+04
   5.9900000e-06   9.9543964e+04
   7.0500000e-06   9.9463393e+04
   8.3000000e-06   9.9368548e+04
   9.7700000e-06   9.9257241e+04
   1.1500000e-05   9.9126566e+04
   1.3500000e-05   9.8975925e+04
   1.5900000e-05   9.8795759e+04
   1.8700000e-05   9.8586392e+04
   2.2100000e-05   9.8333352e+04
   2.6000000e-05   9.8044694e+04
   3.0500000e-05   9.7713726e+04
   3.5900000e-05   9.7319502e+04
   4.2300000e-05   9.6856374e+04
   4.9800000e-05   9.6319223e+04
   5.8600000e-05   9.5696514e+04
   6.8900000e-05   9.4977812e+04
   8.1100000e-05   9.4140377e+04
   9.5500000e-05   9.3170736e+04
   1.1233200e-04   9.2062353e+04
   1.3219400e-04   9.0787895e+04
   1.5556800e-04   8.9332559e+04
   1.8307400e-04   8.7678608e+04
   2.1544300e-04   8.5809013e+04
   2.5353600e-04   8.3708438e+04
   2.9836500e-04   8.1364460e+04
   3.5111900e-04   7.8768880e+04
   4.1320100e-04   7.5918791e+04
   4.8626000e-04   7.2818159e+04
   5.7223700e-04   6.9478820e+04
   6.7341500e-04   6.5921291e+04
   7.9248300e-04   6.2174863e+04
   9.3260300e-04   5.8277300e+04
   1.0974990e-03   5.4273502e+04
   1.2915500e-03   5.0213781e+04
   1.5199110e-03   4.6151297e+04
   1.7886500e-03   4.2139340e+04
   2.1049040e-03   3.8228637e+04
   2.4770760e-03   3.4464768e+04
   2.9150530e-03   3.0886292e+04
   3.4304690e-03   2.7523465e+04
   4.0370170e-03   2.4397694e+04
   4.7508100e-03   2.1521707e+04
   5.5908100e-03   1.8900246e+04
   6.5793320e-03   1.6531150e+04
   7.7426370e-03   1.4406647e+04
   9.1116280e-03   1.2514708e+04
   1.0722672e-02   1.0840330e+04
   1.2618569e-02   9.3666714e+03
   1.4849683e-02   8.0760224e+03
   1.7475284e-02   6.9505621e+03
   2.0565123e-02   5.9729312e+03
   2.4201283e-02   5.1266363e+03
   2.8480359e-02   4.3963137e+03
   3.3516027e-02   3.7678775e+03
   3.9442061e-02   3.2285817e+03
   4.6415888e-02   2.7670200e+03
   5.4622772e-02   2.3730793e+03
   6.4280731e-02   2.0378669e+03
   7.5646333e-02   1.7536186e+03
   8.9021509e-02   1.5135984e+03
   1.0476157e-01   1.3119939e+03
   1.2328467e-01   1.1438113e+03
   1.4508288e-01   1.0047690e+03
   1.7073526e-01   8.9118997e+02
   2.0092330e-01   7.9988989e+02
   2.3644894e-01   7.2805989e+02
   2.7825594e-01   6.7314420e+02
   3.2745492e-01   6.3272093e+02
   3.8535286e-01   6.0440407e+02
   4.5348785e-01   5.8579589e+02
   5.3366992e-01   5.7452000e+02
   6.2802914e-01   5.6834398e+02
   7.3907220e-01   5.6535507e+02
   8.6974900e-01   5.6410910e+02
   1.0235310e+00   5.6367425e+02
   1.2045035e+00   5.6355119e+02
   1.4174742e+00   5.6352397e+02
   1.6681005e+00   5.6351946e+02
   1.9630406e+00   5.6351893e+02
   2.3101297e+00   5.6351889e+02
   2.7185882e+00   5.6351888e+02
   3.1992671e+00   5.6351888e+02
   3.7649358e+00   5.6351888e+02
   4.4306215e+00   5.6351888e+02
   5.2140083e+00   5.6351888e+02
   6.1359073e+00   5.6351888e+02
   7.2208090e+00   5.6351888e+02
   8.4975344e+00   5.6351888e+02
   1.0000000e+01   5.6351888e+02
