	time (s)	 A copies (not exactly 1E5 due to volume/conc precision)
   0.0000000e+00   1.0042323e+05
   2.8884398e-14   1.0042323e+05
   2.8887287e-10   1.0042321e+05
   3.1773127e-09   1.0042299e+05
   7.5398926e-09   1.0042265e+05
   1.4958980e-08   1.0042208e+05
   2.7771035e-08   1.0042109e+05
   5.0148094e-08   1.0041937e+05
   8.9663662e-08   1.0041632e+05
   1.6074671e-07   1.0041084e+05
   2.9500452e-07   1.0040049e+05
   6.3608010e-07   1.0037422e+05
   9.7715569e-07   1.0034795e+05
   1.3182313e-06   1.0032170e+05
   1.9029169e-06   1.0027674e+05
   2.4876024e-06   1.0023181e+05
   3.0722880e-06   1.0018693e+05
   3.9559300e-06   1.0011917e+05
   5.7119786e-06   9.9984780e+04
   8.4801576e-06   9.9773669e+04
   1.2975564e-05   9.9432726e+04
   1.7470970e-05   9.9094106e+04
   2.1966376e-05   9.8757784e+04
   2.6461782e-05   9.8423738e+04
   3.0957187e-05   9.8091943e+04
   3.8603076e-05   9.7532728e+04
   4.6248965e-05   9.6979853e+04
   5.8774707e-05   9.6087537e+04
   7.1300450e-05   9.5211491e+04
   8.3826192e-05   9.4351276e+04
   9.6351934e-05   9.3506465e+04
   1.0887768e-04   9.2676650e+04
   1.3519658e-04   9.0980163e+04
   1.5468088e-04   8.9763705e+04
   1.7416517e-04   8.8579347e+04
   1.9364946e-04   8.7425835e+04
   2.1313376e-04   8.6301981e+04
   2.3261805e-04   8.5206655e+04
   2.6452768e-04   8.3471660e+04
   2.9643730e-04   8.1805915e+04
   3.2834693e-04   8.0205354e+04
   3.6025656e-04   7.8666223e+04
   3.9216619e-04   7.7185052e+04
   4.2407582e-04   7.5758628e+04
   4.5598544e-04   7.4383972e+04
   4.8789507e-04   7.3058315e+04
   5.1980470e-04   7.1779084e+04
   5.5171433e-04   7.0543881e+04
   5.8362395e-04   6.9350473e+04
   6.1553358e-04   6.8196773e+04
   6.4744321e-04   6.7080832e+04
   6.7935284e-04   6.6000826e+04
   7.1126247e-04   6.4955047e+04
   7.4317209e-04   6.3941894e+04
   7.9214046e-04   6.2447146e+04
   8.4110883e-04   6.1020692e+04
   8.9007720e-04   5.9657954e+04
   9.3904557e-04   5.8354756e+04
   9.8801394e-04   5.7107279e+04
   1.0369823e-03   5.5912025e+04
   1.0859507e-03   5.4765782e+04
   1.1349190e-03   5.3665596e+04
   1.1838874e-03   5.2608746e+04
   1.2328558e-03   5.1592721e+04
