t	(Var=AC_Count) AC_Count (number of partilces)
0.0	0.0
2.94902458E-5	0.0
1.250079474E-4	1.0
1.953049654E-4	2.0
2.142829363E-4	3.0
4.379720132E-4	3.0
4.405921247E-4	4.0
5.41351781E-4	5.0
5.767694761E-4	5.0
6.410406049E-4	6.0
7.310341437E-4	7.0
7.338874638E-4	8.0
9.213261234E-4	8.0
9.326617167E-4	8.0
9.918070899E-4	8.0
0.001004931076	8.0
0.001053755897	9.0
0.001094936952	10.0
0.001110510322	10.0
0.001173980197	10.0
0.001281588205	11.0
0.001284490559	12.0
0.001297421665	13.0
0.001319976997	13.0
0.001387411852	13.0
0.001417625918	14.0
0.001485309904	14.0
0.00153572892	14.0
0.00163063664	15.0
0.001740645603	15.0
0.001795904561	16.0
0.001868382577	17.0
0.00195338289	17.0
0.002141519987	17.0
0.002271915434	18.0
0.002279917983	19.0
0.002377675394	19.0
0.002396052414	20.0
0.002463395995	20.0
0.002465304954	20.0
0.002531593263	20.0
0.002535430445	21.0
0.002537216805	21.0
0.002540841525	22.0
0.002561180312	23.0
0.002579268239	23.0
0.002642562937	23.0
0.002643309562	24.0
0.002814484609	25.0
0.002817280546	25.0
0.00281843703	26.0
0.002870483524	27.0
0.002878195364	28.0
0.002891076652	29.0
0.003188067363	30.0
0.003288312412	31.0
0.003442256764	32.0
0.003562749139	32.0
0.003594491336	33.0
0.003660694183	34.0
0.003702384123	35.0
0.003772160885	35.0
0.003819762114	36.0
0.003842390599	37.0
0.003871569059	38.0
0.003961301107	38.0
0.003989006459	39.0
0.003991272922	39.0
0.004210139132	40.0
0.004321251291	40.0
0.004491982576	41.0
0.004517422608	41.0
0.004530895806	42.0
0.004782774714	42.0
0.004792593267	43.0
0.004875045684	43.0
0.004884790633	43.0
0.005116504577	43.0
0.005254312508	43.0
0.005255553348	44.0
0.005484118891	44.0
0.005550162616	45.0
0.005620196233	45.0
0.00591419818	45.0
0.006084310401	45.0
0.006159781229	46.0
0.006200374375	47.0
0.006222776384	48.0
0.006294698422	49.0
0.006356979031	49.0
0.006459512257	49.0
0.006587063694	49.0
0.006659948435	49.0
0.006661699999	49.0
0.006777489276	50.0
0.006843444506	50.0
0.006914014095	51.0
0.006980077019	51.0
0.006986112472	51.0
0.00706021071	51.0
0.007188961196	51.0
0.007227237686	52.0
0.007375398744	53.0
0.007416800177	54.0
0.007482738578	54.0
0.007539792801	55.0
0.00789694693	55.0
0.008033371641	55.0
0.008209545619	55.0
0.008398540875	55.0
0.008414641676	55.0
0.008468906245	55.0
0.008915354576	56.0
0.009145707396	55.0
0.009400554188	55.0
0.009614697162	55.0
0.009979466447	55.0
0.009983229132	56.0
0.009998486324	56.0
0.01025453962	57.0
0.0103893257	56.0
0.01083448239	56.0
0.01096510052	57.0
0.01097893466	57.0
0.01102103818	58.0
0.01168474693	59.0
0.01195974309	60.0
0.0120126215	60.0
0.01212033857	61.0
0.01229856651	61.0
0.01242959211	62.0
0.01266407648	62.0
0.01277179336	62.0
0.01278016771	62.0
0.01279996541	61.0
0.01280414132	61.0
0.01338640444	62.0
0.01340397469	63.0
0.01349800334	63.0
0.0136323446	63.0
0.01391104409	62.0
0.01393214634	61.0
0.01397186257	61.0
0.01412992053	61.0
0.01427053807	61.0
0.0144613262	61.0
0.01464855531	60.0
0.0147135425	61.0
0.01491130561	62.0
0.01522942419	63.0
0.01559243245	64.0
0.01573644611	65.0
0.01599687337	64.0
0.01602679147	65.0
0.01604958209	65.0
0.01629754635	66.0
0.01631975363	66.0
0.01701628317	67.0
0.0177818479	68.0
0.01797366981	69.0
0.01842528179	70.0
0.01849602009	70.0
0.01863775459	70.0
0.01871111693	71.0
0.01872772082	70.0
0.01903011441	71.0
0.01909029394	70.0
0.01932576387	71.0
0.01935392353	70.0
0.01955821361	70.0
0.01958664083	71.0
0.01981416809	70.0
0.01994276392	70.0
0.02030447754	69.0
0.02074609066	68.0
0.02089401008	69.0
0.0210798402	70.0
0.02122753169	69.0
0.02133224428	70.0
0.02136263962	70.0
0.02210181412	71.0
0.02246544597	71.0
0.02282028261	72.0
0.02312235673	73.0
0.02374757204	74.0
0.02397310215	74.0
