t(s)	A(µM)	AB(µM)	ABC(1/µm^2)	AC(1/µm^2)	(Var=B) B(µM)	BAC(1/µm^2)	BC(1/µm^2)	C(1/µm^2)	CABC(1/µm^2)
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	16999.0	0.0
5.714502540501995E-14	0.999999999999352	2.857251270243444E-15	2.2759571968048873E-22	1.9428165737178323E-9	0.999999999999352	2.2759571968048873E-22	1.9428165737178323E-9	16998.999999996115	7.434593558443402E-31
5.715073990756045E-10	0.9999999935185349	2.8575369198316783E-11	2.2761480490283298E-14	1.943010835012603E-5	0.9999999935185349	2.2761480490283298E-14	1.943010835012603E-5	16998.999961139783	7.435227386460212E-19
6.2860099395775994E-9	0.9999999287103685	3.1430043830959323E-10	1.7674931402206703E-12	2.1371175011057646E-4	0.9999999287103685	1.7674931402206703E-12	2.1371175011057646E-4	16998.999572576497	3.907211945875364E-16
3.326265566443014E-8	0.9999996227683362	1.6631313970654885E-9	4.174325640576235E-11	0.0011308633936192786	0.9999996227683362	4.174325640576235E-11	0.0011308633936192786	16998.99773827313	4.323656876748936E-14
9.88936783765195E-8	0.9999988784476602	4.9446723163479166E-9	3.491219497956109E-10	0.0033621841497984356	0.9999988784476602	3.491219497956109E-10	0.0033621841497984356	16998.993275631	9.354204745403391E-13
2.273552569945551E-7	0.9999974215683947	1.1367702538300458E-8	1.8121734658327399E-9	0.007729607769163367	0.9999974215683947	1.8121734658327399E-9	0.007729607769163367	16998.984540780817	1.0224399979060551E-11
4.602254965728607E-7	0.9999947806001981	2.3011029070085626E-8	7.365622909480951E-9	0.015646680182263065	0.9999947806001981	7.365622909480951E-9	0.015646680182263065	16998.968706624742	7.994218561166982E-11
8.707590628864379E-7	0.9999901247838046	4.353707515150507E-8	2.6198742220387556E-8	0.029603829928504702	0.9999901247838046	2.6198742220387556E-8	0.029603829928504702	16998.9407922867	5.225762082674031E-10
1.5634576950456503E-6	0.9999822690264877	7.817005635599657E-8	8.378430229212994E-8	0.053153672191983	0.9999822690264877	8.378430229212994E-8	0.053153672191983	16998.893692482154	2.9413040593673244E-9
2.2561563272048627E-6	0.9999744133474211	1.1280192788965997E-7	1.7333128023998806E-7	0.07670321523585653	0.9999744133474211	1.7333128023998806E-7	0.07670321523585653	16998.84659320609	8.38077447876243E-9
2.948854959364075E-6	0.9999665577466119	1.474326896835746E-7	2.942477060365354E-7	0.10025245900360108	0.9999665577466119	2.942477060365354E-7	0.10025245900360108	16998.799494457347	1.8060492756719213E-8
4.360368567007654E-6	0.9999505506128513	2.1799643869396498E-7	6.35001619575813E-7	0.14823788118265274	0.9999505506128513	6.35001619575813E-7	0.14823788118265274	16998.70352285458	5.650177169351998E-8
5.771882174651232E-6	0.9999345438040368	2.885555801418249E-7	1.0987566248691424E-6	0.1962220603086464	0.9999345438040368	1.0987566248691424E-6	0.1962220603086464	16998.60755342686	1.2743199295482056E-7
7.18339578229481E-6	0.9999185373201618	3.5911011437206926E-7	1.6807803449174022E-6	0.24420499615038618	0.9999185373201618	1.6807803449174022E-6	0.24420499615038618	16998.51158616477	2.405655114506212E-7
8.594909389938388E-6	0.9999025311612183	4.2966004176102563E-7	2.376298391789297E-6	0.29218668847102797	0.9999025311612183	2.376298391789297E-6	0.29218668847102797	16998.415621058757	4.0571120037253076E-7
1.1972581914192439E-5	0.9998642306438438	5.984633429484498E-7	4.475575907947399E-6	0.40699912489787105	0.9998642306438438	4.475575907947399E-6	0.40699912489787105	16998.18599066837	1.0651519419956439E-6
1.5350254438446492E-5	0.9998259319869254	7.6724027160183E-7	7.1424564686629675E-6	0.5218044362051097	0.9998259319869254	7.1424564686629675E-6	0.5218044362051097	16997.956372458342	2.191950328242172E-6
1.8727926962700543E-5	0.9997876351903525	9.359908325217489E-7	1.0324604106199961E-5	0.6366026192390368	0.9997876351903525	1.0324604106199961E-5	0.6366026192390368	16997.726766323984	3.8942510717388094E-6
2.2105599486954594E-5	0.9997493402540146	1.1047150303885133E-6	1.3974908859951883E-5	0.7513936708540139	0.9997493402540146	1.3974908859951883E-5	0.7513936708540139	16997.497172170108	6.269737956920866E-6
2.5483272011208645E-5	0.9997110471778017	1.2734128697758252E-6	1.8050717906387978E-5	0.8661775879049081	0.9997110471778017	1.8050717906387978E-5	0.8661775879049081	16997.267589910454	9.407179616343786E-6
2.8860944535462696E-5	0.9996727559616035	1.4420843551634103E-6	2.2513281428487115E-5	0.9809543672456026	0.9996727559616035	2.2513281428487115E-5	0.9809543672456026	16997.038019466767	1.3387539479924177E-5
3.223861705971675E-5	0.9996344666053105	1.6107294909472076E-6	2.7327357196528338E-5	1.095724005729444	0.9996344666053105	2.7327357196528338E-5	1.095724005729444	16996.80846076792	1.828476621334745E-5
3.56162895839708E-5	0.9995961791088128	1.7793482814474934E-6	3.2460893604292455E-5	1.210486500209816	0.9995961791088128	3.2460893604292455E-5	1.210486500209816	16996.578913749207	2.4166427072222156E-5
3.899396210822485E-5	0.9995578934720009	1.9479407309157156E-6	3.788474841699159E-5	1.3252418475404384	0.9995578934720009	3.788474841699159E-5	1.3252418475404384	16996.34937835173	3.109427010311121E-5
4.2371634632478904E-5	0.999519609694765	2.1165068435405776E-6	4.3572429479171216E-5	1.439990044575469	0.999519609694765	4.3572429479171216E-5	1.439990044575469	16996.11985452188	3.912474262913836E-5
4.5749307156732956E-5	0.999481327776996	2.285046623453604E-6	4.9499855364668345E-5	1.5547310881695273	0.999481327776996	4.9499855364668345E-5	1.5547310881695273	16995.890342210867	4.8309469933363274E-5
4.912697968098701E-5	0.9994430477185845	2.4535600747342585E-6	5.5645136137620565E-5	1.6694649751777035	0.9994430477185845	5.5645136137620565E-5	1.6694649751777035	16995.66084137428	5.869569373578401E-5
5.250465220524106E-5	0.999404769519421	2.62204720141463E-6	6.198837368015678E-5	1.784191702455571	0.999404769519421	6.198837368015678E-5	1.784191702455571	16995.431351971692	7.032667153283481E-5
5.588232472949511E-5	0.9993664931793966	2.7905080074837E-6	6.851148025994876E-5	1.898911266859202	0.9993664931793966	6.851148025994876E-5	1.898911266859202	16995.201873966296	8.324203945233624E-5
5.925999725374916E-5	0.999328218698402	2.9589424968912254E-6	7.51980137264932E-5	2.0136236652451873	0.999328218698402	7.51980137264932E-5	2.0136236652451873	16994.97240732458	9.747814184927417E-5
6.263766977800322E-5	0.9992899460763283	3.127350673551263E-6	8.203302776799243E-5	2.1283288944706507	0.9992899460763283	8.203302776799243E-5	2.1283288944706507	16994.742952016022	1.1306833078072308E-4
6.782223554213478E-5	0.9992312030484072	3.3857979864730623E-6	9.278276715764689E-5	2.304381979845344	0.9992312030484072	9.278276715764689E-5	2.304381979845344	16994.39077107878	1.3970195261461848E-4
7.300680130626632E-5	0.9991724643995982	3.6441833275459495E-6	1.0380695958510478E-4	2.4804181553525733	0.9991724643995982	1.0380695958510478E-4	2.4804181553525733	16994.038616689148	1.6969732051247578E-4
7.819136707039786E-5	0.9991137301295078	3.902506710540847E-6	1.1506766791854378E-4	2.656437409633885	0.9991137301295078	1.1506766791854378E-4	2.656437409633885	16993.68648876882	2.0314281098787192E-4
8.337593283452941E-5	0.9990550002377424	4.16076814909877E-6	1.2653250495815347E-4	2.832439731334296	0.9990550002377424	1.2653250495815347E-4	2.832439731334296	16993.334387250277	2.4011569681947918E-4
8.856049859866095E-5	0.998996274723909	4.418967656747194E-6	1.3817361223880512E-4	3.0084251091022898	0.998996274723909	1.3817361223880512E-4	3.0084251091022898	16992.982312075408	2.8068418950380567E-4
9.37450643627925E-5	0.9989375535876145	4.677105246920015E-6	1.4996681405477562E-4	3.184393531589782	0.9989375535876145	1.4996681405477562E-4	3.184393531589782	16992.630263193823	3.249091312771696E-4
9.892963012692404E-5	0.9988788368284662	4.935180932973624E-6	1.6189110990797026E-4	3.3603449874521623	0.9988788368284662	1.6189110990797026E-4	3.3603449874521623	16992.278240561485	3.7284501019481164E-4
1.0411419589105559E-4	0.9988201244460716	5.193194728197311E-6	1.7392832620138131E-4	3.5362794653483682	0.9988201244460716	1.7392832620138131E-4	3.5362794653483682	16991.926244139828	4.2454065667583236E-4
1.0929876165518713E-4	0.9987614164400381	5.451146645820387E-6	1.8606278291823417E-4	3.712196953940951	0.9987614164400381	1.8606278291823417E-4	3.712196953940951	16991.574273895145	4.8003991008966094E-4
1.2068215653564487E-4	0.9986325306555836	6.017296935357544E-6	2.1298242427647123E-4	4.098387240797001	0.9986325306555836	2.1298242427647123E-4	4.098387240797001	16990.801568703122	6.154294626333361E-4
1.3206555141610262E-4	0.9985036659626353	6.583149127759065E-6	2.4019271904366404E-4	4.484495451138082	0.9985036659626353	2.4019271904366404E-4	4.484495451138082	16990.028989313698	7.697037941653799E-4
1.4039903917223643E-4	0.9984093408373346	6.997205907259551E-6	2.602502258964766E-4	4.767103138434113	0.9984093408373346	2.602502258964766E-4	4.767103138434113	16989.463483658605	8.947866271866614E-4
1.4873252692837024E-4	0.9983150270118055	7.411103054649155E-6	2.803958079707983E-4	5.049666727074308	0.9983150270118055	2.803958079707983E-4	5.049666727074308	16988.89804526706	0.0010302482154660054
1.5706601468450405E-4	0.9982207244844221	7.824840623710635E-6	3.0060885665872156E-4	5.332186170105654	0.9982207244844221	3.0060885665872156E-4	5.332186170105654	16988.33267408924	0.001176181463340489
1.6539950244063786E-4	0.9981264332535591	8.238418668110236E-6	3.2087356339994725E-4	5.614661420600666	0.9981264332535591	3.2087356339994725E-4	5.614661420600666	16987.76737008368	0.0013326696481068714
1.7373299019677167E-4	0.9980321533175913	8.651837241408488E-6	3.4117825061388975E-4	5.8970924316574695	0.9980321533175913	3.4117825061388975E-4	5.8970924316574695	16987.202133216306	0.0014997877580859838
1.8206647795290549E-4	0.9979378846748947	9.06509639707394E-6	3.615137883564227E-4	6.17947915640004	0.9979378846748947	3.615137883564227E-4	6.17947915640004	16986.63696345933	0.0016776056591624035
1.903999657090393E-4	0.9978436273238454	9.478196188506831E-6	3.818725768295376E-4	6.461821547978362	0.9978436273238454	3.818725768295376E-4	6.461821547978362	16986.071860789183	0.001866190129656804
1.987334534651731E-4	0.9977493812628199	9.89113666906196E-6	4.0224840809746935E-4	6.74411955956846	0.9977493812628199	4.0224840809746935E-4	6.74411955956846	16985.50682518461	0.0020656051368524776
2.13132176095216E-4	0.9975865681344412	1.060424602812742E-5	4.3748081779040583E-4	7.231773491209582	0.9975865681344412	4.3748081779040583E-4	7.231773491209582	16984.530706352634	0.0024358580250610387
2.275308987252589E-4	0.9974237886974509	1.1316880223320018E-5	4.7273252854606457E-4	7.719294552435225	0.9974237886974509	4.7273252854606457E-4	7.719294552435225	16983.554787592264	0.002838926320110686
2.419296213553018E-4	0.9972610429434849	1.2029039529047375E-5	5.079919872313334E-4	8.206682502273612	0.9972610429434849	5.079919872313334E-4	8.206682502273612	16982.579068829175	0.003275098457958116
2.563283439853447E-4	0.9970983308641835	1.2740724219428863E-5	5.432514646421333E-4	8.6939370999874	0.9970983308641835	5.432514646421333E-4	8.6939370999874	16981.60354999967	0.003744654981205965
