t	(Var=A) A	(Var=AB) AB	(Var=ABC) ABC	(Var=AC) AC	(Var=B) B	(Var=BAC) BAC	(Var=BC) BC	(Var=C) C	(Var=CABC) CABC
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	16999.0	0.0
5.714502540501995E-14	0.9999999999957055	2.8572512702017695E-15	1.1102230228189483E-23	1.942816573710964E-9	0.9999999999957055	1.1102230228189483E-23	1.942816573710964E-9	16998.99999999611	4.478883656998325E-32
5.715073990756045E-10	0.9999999570513098	2.8575365030475566E-11	1.110315994424968E-15	1.94301076632862E-5	0.9999999570513098	1.110315994424968E-15	1.94301076632862E-5	16998.999961139783	4.4793628889977306E-20
6.2860099395775994E-9	0.9999995276074832	3.143001146351227E-10	8.621910604186022E-14	2.137116967705992E-4	0.9999995276074832	8.621910604186022E-14	2.137116967705992E-4	16998.999572576602	2.597145572563416E-17
2.173696017118535E-8	0.9999983664723601	1.0868441626941015E-9	8.670795579367017E-13	7.390124762909134E-4	0.9999983664723601	8.670795579367017E-13	7.390124762909134E-4	16998.998521975045	7.678477934541277E-16
5.3173453999706544E-8	0.9999960040319397	2.6586508281593257E-9	4.9293987604834816E-12	0.0018077871330731596	0.9999960040319397	4.9293987604834816E-12	0.0018077871330731596	16998.996384425725	9.693983803490814E-15
1.109154088572055E-7	0.9999916647616689	5.545676845399607E-9	2.1081322837226692E-11	0.0037708851410632486	0.9999916647616689	2.1081322837226692E-11	0.0037708851410632486	16998.992458229674	8.162892349262619E-14
2.1314578657848527E-7	0.9999839822645783	1.0656945704524354E-8	7.731044222543077E-11	0.0072464682992370395	0.9999839822645783	7.731044222543077E-11	0.0072464682992370395	16998.985507063244	5.562430311537263E-13
3.9178396834884213E-7	0.999970557958561	1.9588039970280343E-8	2.60134287319419E-10	0.013319661819897497	0.999970557958561	2.60134287319419E-10	0.013319661819897497	16998.973360675835	3.375121322808104E-12
7.027335197249263E-7	0.9999471911731764	3.5132952094862924E-8	8.334391553205155E-10	0.023890860624231697	0.9999471911731764	8.334391553205155E-10	0.023890860624231697	16998.952218277045	1.920045681201295E-11
1.2450054348138021E-6	0.9999064427038469	6.223858745597402E-8	2.599965538979987E-9	0.04232558123449097	0.9999064427038469	2.599965538979987E-9	0.04232558123449097	16998.91534883212	1.0570882272894389E-10
2.2041648808971956E-6	0.9998343719829297	1.1017162902630334E-7	8.064767933103204E-9	0.07493057399112774	0.9998343719829297	8.064767933103204E-9	0.07493057399112774	16998.85013883472	5.819034241052756E-10
3.9469410611875865E-6	0.9997034349025669	1.972296701155912E-7	2.538086142778869E-8	0.1341668651328111	0.9997034349025669	2.538086142778869E-8	0.1341668651328111	16998.731666212345	3.3131465617740632E-9
5.689717241477977E-6	0.999572516109229	2.842419680434153E-7	5.190735579697449E-8	0.19339487656258864	0.999572516109229	5.190735579697449E-8	0.19339487656258864	16998.61321012419	9.434359250182327E-9
7.432493421768368E-6	0.999441615600305	3.7120854049893173E-7	8.721742053650938E-8	0.2526146089766416	0.999441615600305	8.721742053650938E-8	0.2526146089766416	16998.494770567057	2.02769766594094E-8
9.17526960205876E-6	0.999310733373063	4.5812940576991764E-7	1.30891168884798E-7	0.31182606311223227	0.999310733373063	1.30891168884798E-7	0.31182606311223227	16998.376347537647	3.717176713492577E-8
1.3499001322217354E-5	0.9989861006953039	6.735780602312781E-7	2.724158045355997E-7	0.45869067968500477	0.9989861006953039	2.724158045355997E-7	0.45869067968500477	16998.08261786613	1.1483435985584675E-7
1.782273304237595E-5	0.998661580484243	8.887457736110485E-7	4.574925072571734E-7	0.6055043586452652	0.998661580484243	4.574925072571734E-7	0.6055043586452652	16997.788989855595	2.560642226948548E-7
2.2146464762534543E-5	0.9983371726988659	1.1036328186792458E-6	6.812159270997336E-7	0.7522671111353503	0.9983371726988659	6.812159270997336E-7	0.7522671111353503	16997.495463459345	4.779738814299532E-7
2.6470196482693138E-5	0.9980128772954933	1.3182394856351918E-6	9.388973042255254E-7	0.8989789490257742	0.9980128772954933	9.388973042255254E-7	0.8989789490257742	16997.202038628726	7.977125729968447E-7
3.079392820285173E-5	0.9976886942305742	1.5325660636081074E-6	1.226418339527355E-6	1.045639884157518	0.9976886942305742	1.226418339527355E-6	1.045639884157518	16996.908715316324	1.2312606531213538E-6
3.511765992301033E-5	0.9973646234611347	1.7466128376865306E-6	1.5402214463096864E-6	1.1922499282199628	0.9973646234611347	1.5402214463096864E-6	1.1922499282199628	16996.615493476373	1.7933695135642613E-6
4.330968142908824E-5	0.9967509258268924	2.15139341021941E-6	2.196357348912215E-6	1.469887278556872	0.9967509258268924	2.196357348912215E-6	1.469887278556872	16996.06021453259	3.2587885109264153E-6
5.150170293516615E-5	0.9961376308638966	2.5551724827480576E-6	2.9184030869150423E-6	1.7473420627766134	0.9961376308638966	2.9184030869150423E-6	1.7473420627766134	16995.50529939563	5.321004143942862E-6
5.969372444124406E-5	0.9955247382833413	2.9579519656716057E-6	3.691990661167673E-6	2.0246143595710953	0.9955247382833413	3.691990661167673E-6	2.0246143595710953	16994.950747777	8.059939069685628E-6
