	time(us)     A(t)              StDev(A)
   0.0000000e+00   1.0000000e+03   0.0000000e+00
   1.0000000e-04   6.9429167e+02   1.4985440e+01
   2.0000000e-04   5.5950000e+02   1.2250998e+01
   3.0000000e-04   4.7625000e+02   1.0875781e+01
   4.0000000e-04   4.1695833e+02   1.1418822e+01
   5.0000000e-04   3.7245833e+02   1.2147568e+01
   6.0000000e-04   3.3804167e+02   1.1039373e+01
   7.0000000e-04   3.1025000e+02   1.0305127e+01
   8.0000000e-04   2.8633333e+02   1.0606260e+01
   9.0000000e-04   2.6691667e+02   1.0133529e+01
   1.0000000e-03   2.5112500e+02   9.3125091e+00
   1.1000000e-03   2.3762500e+02   9.7437271e+00
   1.2000000e-03   2.2604167e+02   9.4706832e+00
   1.3000000e-03   2.1479167e+02   9.8818198e+00
   1.4000000e-03   2.0375000e+02   9.7679600e+00
   1.5000000e-03   1.9591667e+02   8.7968209e+00
   1.6000000e-03   1.8820833e+02   8.7822903e+00
   1.7000000e-03   1.8091667e+02   8.6924088e+00
   1.8000000e-03   1.7395833e+02   8.8831994e+00
   1.9000000e-03   1.6854167e+02   8.5718405e+00
   2.0000000e-03   1.6283333e+02   8.7757901e+00
   2.1000000e-03   1.5779167e+02   9.4407957e+00
   2.2000000e-03   1.5241667e+02   8.9000081e+00
   2.3000000e-03   1.4862500e+02   8.1763843e+00
   2.4000000e-03   1.4420833e+02   7.9124512e+00
   2.5000000e-03   1.4020833e+02   8.4027903e+00
   2.6000000e-03   1.3695833e+02   9.4523021e+00
   2.7000000e-03   1.3383333e+02   9.1016800e+00
   2.8000000e-03   1.3058333e+02   9.0309452e+00
   2.9000000e-03   1.2733333e+02   9.1350575e+00
   3.0000000e-03   1.2433333e+02   8.6359545e+00
   3.1000000e-03   1.2187500e+02   8.5175650e+00
   3.2000000e-03   1.1950000e+02   8.7327470e+00
   3.3000000e-03   1.1687500e+02   7.8036363e+00
   3.4000000e-03   1.1462500e+02   7.5516339e+00
   3.5000000e-03   1.1241667e+02   7.4770179e+00
   3.6000000e-03   1.1029167e+02   7.3984673e+00
   3.7000000e-03   1.0820833e+02   7.0709397e+00
   3.8000000e-03   1.0641667e+02   7.1743302e+00
   3.9000000e-03   1.0462500e+02   7.4121668e+00
   4.0000000e-03   1.0304167e+02   7.4919038e+00
   4.1000000e-03   1.0120833e+02   8.0270151e+00
   4.2000000e-03   9.9958333e+01   7.9371398e+00
   4.3000000e-03   9.8208333e+01   8.1024911e+00
   4.4000000e-03   9.6791667e+01   7.6895138e+00
   4.5000000e-03   9.5291667e+01   7.4453322e+00
   4.6000000e-03   9.3916667e+01   6.9714740e+00
   4.7000000e-03   9.2708333e+01   7.1898429e+00
   4.8000000e-03   9.1500000e+01   7.5871745e+00
   4.9000000e-03   9.0208333e+01   7.3896471e+00
   5.0000000e-03   8.9041667e+01   7.5324179e+00
   5.1000000e-03   8.7666667e+01   7.2391848e+00
   5.2000000e-03   8.6500000e+01   7.3306978e+00
   5.3000000e-03   8.5291667e+01   7.3276081e+00
   5.4000000e-03   8.3958333e+01   7.3749232e+00
   5.5000000e-03   8.2666667e+01   7.4405859e+00
   5.6000000e-03   8.1625000e+01   7.2760028e+00
   5.7000000e-03   8.0958333e+01   7.2560569e+00
   5.8000000e-03   8.0041667e+01   7.6013681e+00
   5.9000000e-03   7.9208333e+01   7.4890016e+00
   6.0000000e-03   7.8166667e+01   7.3760285e+00
   6.1000000e-03   7.7458333e+01   7.4365675e+00
