   time (s)        copyNums
   0.0000000e+00   1.0000000e+03
   1.0000000e-07   9.9969309e+02
   1.0969858e-07   9.9966334e+02
   1.2033778e-07   9.9963070e+02
   1.3200884e-07   9.9959490e+02
   1.4481182e-07   9.9955563e+02
   1.5885651e-07   9.9951255e+02
   1.7426334e-07   9.9946530e+02
   1.9116441e-07   9.9941347e+02
   2.0970464e-07   9.9935662e+02
   2.3004301e-07   9.9929427e+02
   2.5235392e-07   9.9922587e+02
   2.7682866e-07   9.9915086e+02
   3.0367711e-07   9.9906858e+02
   3.3312948e-07   9.9897834e+02
   3.6543831e-07   9.9887936e+02
   4.0088063e-07   9.9877081e+02
   4.3976036e-07   9.9865176e+02
   4.8241087e-07   9.9852119e+02
   5.2919787e-07   9.9837800e+02
   5.8052255e-07   9.9822097e+02
   6.3682499e-07   9.9804876e+02
   6.9858797e-07   9.9785993e+02
   7.6634109e-07   9.9765286e+02
   8.4066529e-07   9.9742580e+02
   9.2219788e-07   9.9717685e+02
   1.0116380e-06   9.9690389e+02
   1.1097525e-06   9.9660463e+02
   1.2173827e-06   9.9627656e+02
   1.3354516e-06   9.9591691e+02
   1.4649714e-06   9.9552268e+02
   1.6070528e-06   9.9509058e+02
   1.7629141e-06   9.9461700e+02
   1.9338918e-06   9.9409801e+02
   2.1214518e-06   9.9352931e+02
   2.3272025e-06   9.9290620e+02
   2.5529081e-06   9.9222355e+02
   2.8005039e-06   9.9147578e+02
   3.0721130e-06   9.9065678e+02
   3.3700643e-06   9.8975990e+02
   3.6969127e-06   9.8877791e+02
   4.0554607e-06   9.8770291e+02
   4.4487828e-06   9.8652635e+02
   4.8802516e-06   9.8523890e+02
   5.3535667e-06   9.8383044e+02
   5.8727866e-06   9.8229001e+02
   6.4423635e-06   9.8060572e+02
   7.0671813e-06   9.7876471e+02
   7.7525975e-06   9.7675309e+02
   8.5044893e-06   9.7455587e+02
   9.3293040e-06   9.7215690e+02
   1.0234114e-05   9.6953881e+02
   1.1226678e-05   9.6668299e+02
   1.2315506e-05   9.6356949e+02
   1.3509935e-05   9.6017703e+02
   1.4820207e-05   9.5648293e+02
   1.6257557e-05   9.5246313e+02
   1.7834309e-05   9.4809217e+02
   1.9563983e-05   9.4334323e+02
   2.1461412e-05   9.3818816e+02
   2.3542864e-05   9.3259758e+02
   2.5826188e-05   9.2654097e+02
   2.8330961e-05   9.1998686e+02
   3.1078662e-05   9.1290298e+02
   3.4092851e-05   9.0525658e+02
   3.7399373e-05   8.9701466e+02
   4.1026581e-05   8.8814442e+02
   4.5005577e-05   8.7861364e+02
   4.9370479e-05   8.6839121e+02
   5.4158714e-05   8.5744769e+02
   5.9411340e-05   8.4575597e+02
   6.5173396e-05   8.3329192e+02
   7.1494290e-05   8.2003519e+02
   7.8428221e-05   8.0596998e+02
   8.6034644e-05   7.9108583e+02
   9.4378783e-05   7.7537845e+02
   1.0353218e-04   7.5885051e+02
   1.1357334e-04   7.4151233e+02
   1.2458834e-04   7.2338255e+02
   1.3667164e-04   7.0448864e+02
   1.4992684e-04   6.8486724e+02
   1.6446762e-04   6.6456431e+02
   1.8041864e-04   6.4363515e+02
   1.9791669e-04   6.2214399e+02
   2.1711179e-04   6.0016354e+02
   2.3816856e-04   5.7777417e+02
   2.6126752e-04   5.5506282e+02
   2.8660676e-04   5.3212180e+02
   3.1440355e-04   5.0904733e+02
   3.4489623e-04   4.8593794e+02
   3.7834626e-04   4.6289283e+02
   4.1504048e-04   4.4001019e+02
   4.5529351e-04   4.1738555e+02
   4.9945051e-04   3.9511020e+02
   5.4789012e-04   3.7326984e+02
   6.0102768e-04   3.5194334e+02
   6.5931883e-04   3.3120177e+02
   7.2326339e-04   3.1110765e+02
   7.9340967e-04   2.9171447e+02
   8.7035914e-04   2.7306648e+02
   9.5477161e-04   2.5519865e+02
   1.0473709e-03   2.3813695e+02
   1.1489510e-03   2.2189869e+02
   1.2603829e-03   2.0649308e+02
   1.3826222e-03   1.9192195e+02
   1.5167169e-03   1.7818042e+02
   1.6638169e-03   1.6525776e+02
   1.8251835e-03   1.5313817e+02
   2.0022004e-03   1.4180162e+02
   2.1963854e-03   1.3122460e+02
   2.4094036e-03   1.2138090e+02
   2.6430815e-03   1.1224227e+02
   2.8994229e-03   1.0377907e+02
   3.1806257e-03   9.5960796e+01
   3.4891012e-03   8.8756591e+01
   3.8274945e-03   8.2135648e+01
   4.1987071e-03   7.6067552e+01
   4.6059220e-03   7.0522559e+01
   5.0526311e-03   6.5471804e+01
   5.5426645e-03   6.0887450e+01
   6.0802243e-03   5.6742771e+01
   6.6699197e-03   5.3012181e+01
   7.3168071e-03   4.9671208e+01
   8.0264335e-03   4.6696414e+01
   8.8048836e-03   4.4065258e+01
   9.6588322e-03   4.1755927e+01
   1.0595602e-02   3.9747112e+01
   1.1623225e-02   3.8017772e+01
   1.2750512e-02   3.6546883e+01
   1.3987131e-02   3.5313207e+01
   1.5343684e-02   3.4295114e+01
   1.6831804e-02   3.3470484e+01
   1.8464249e-02   3.2816743e+01
   2.0255019e-02   3.2311054e+01
   2.2219469e-02   3.1930678e+01
   2.4374442e-02   3.1653480e+01
   2.6738416e-02   3.1458556e+01
   2.9331663e-02   3.1326858e+01
   3.2176418e-02   3.1241760e+01
   3.5297073e-02   3.1189430e+01
   3.8720388e-02   3.1158967e+01
   4.2475716e-02   3.1142272e+01
   4.6595257e-02   3.1133713e+01
   5.1114335e-02   3.1129633e+01
   5.6071699e-02   3.1127838e+01
   6.1509858e-02   3.1127115e+01
   6.7475441e-02   3.1126850e+01
   7.4019600e-02   3.1126763e+01
   8.1198450e-02   3.1126738e+01
   8.9073546e-02   3.1126731e+01
   9.7712415e-02   3.1126730e+01
   1.0718913e-01   3.1126729e+01
   1.1758496e-01   3.1126729e+01
   1.2898903e-01   3.1126729e+01
   1.4149913e-01   3.1126729e+01
   1.5522254e-01   3.1126729e+01
   1.7027692e-01   3.1126729e+01
   1.8679136e-01   3.1126729e+01
   2.0490747e-01   3.1126729e+01
   2.2478058e-01   3.1126729e+01
   2.4658111e-01   3.1126729e+01
   2.7049597e-01   3.1126729e+01
   2.9673024e-01   3.1126729e+01
   3.2550886e-01   3.1126729e+01
   3.5707860e-01   3.1126729e+01
   3.9171015e-01   3.1126729e+01
   4.2970047e-01   3.1126729e+01
   4.7137531e-01   3.1126729e+01
   5.1709202e-01   3.1126729e+01
   5.6724261e-01   3.1126729e+01
   6.2225708e-01   3.1126729e+01
   6.8260718e-01   3.1126729e+01
   7.4881039e-01   3.1126729e+01
   8.2143436e-01   3.1126729e+01
   9.0110183e-01   3.1126729e+01
   9.8849590e-01   3.1126729e+01
   1.0843660e+00   3.1126729e+01
   1.1895341e+00   3.1126729e+01
   1.3049020e+00   3.1126729e+01
   1.4314589e+00   3.1126729e+01
   1.5702901e+00   3.1126729e+01
   1.7225860e+00   3.1126729e+01
   1.8896523e+00   3.1126729e+01
   2.0729218e+00   3.1126729e+01
   2.2739658e+00   3.1126729e+01
   2.4945081e+00   3.1126729e+01
   2.7364400e+00   3.1126729e+01
   3.0018358e+00   3.1126729e+01
   3.2929713e+00   3.1126729e+01
   3.6123427e+00   3.1126729e+01
   3.9626886e+00   3.1126729e+01
   4.3470132e+00   3.1126729e+01
   4.7686117e+00   3.1126729e+01
   5.2310993e+00   3.1126729e+01
   5.7384416e+00   3.1126729e+01
   6.2949890e+00   3.1126729e+01
   6.9055135e+00   3.1126729e+01
   7.5752503e+00             NaN
   8.3099419e+00             NaN
   9.1158883e+00             NaN
   1.0000000e+01             NaN
