	time(s)     copy nums
   1.0000000e-08   6.0197553e+02
   1.0328281e-08   6.0197473e+02
   1.0667339e-08   6.0197390e+02
   1.1017528e-08   6.0197304e+02
   1.1379213e-08   6.0197215e+02
   1.1752771e-08   6.0197124e+02
   1.2138593e-08   6.0197030e+02
   1.2537080e-08   6.0196932e+02
   1.2948649e-08   6.0196831e+02
   1.3373729e-08   6.0196727e+02
   1.3812763e-08   6.0196620e+02
   1.4266210e-08   6.0196509e+02
   1.4734543e-08   6.0196394e+02
   1.5218251e-08   6.0196276e+02
   1.5717837e-08   6.0196154e+02
   1.6233824e-08   6.0196027e+02
   1.6766750e-08   6.0195897e+02
   1.7317171e-08   6.0195762e+02
   1.7885662e-08   6.0195623e+02
   1.8472814e-08   6.0195480e+02
   1.9079242e-08   6.0195331e+02
   1.9705578e-08   6.0195178e+02
   2.0352475e-08   6.0195020e+02
   2.1020609e-08   6.0194856e+02
   2.1710676e-08   6.0194687e+02
   2.2423397e-08   6.0194513e+02
   2.3159515e-08   6.0194333e+02
   2.3919798e-08   6.0194147e+02
   2.4705041e-08   6.0193954e+02
   2.5516061e-08   6.0193756e+02
   2.6353705e-08   6.0193551e+02
   2.7218848e-08   6.0193339e+02
   2.8112392e-08   6.0193121e+02
   2.9035269e-08   6.0192895e+02
   2.9988442e-08   6.0192662e+02
   3.0972907e-08   6.0192421e+02
   3.1989689e-08   6.0192172e+02
   3.3039851e-08   6.0191915e+02
   3.4124487e-08   6.0191649e+02
   3.5244730e-08   6.0191375e+02
   3.6401748e-08   6.0191092e+02
   3.7596750e-08   6.0190800e+02
   3.8830980e-08   6.0190498e+02
   4.0105729e-08   6.0190186e+02
   4.1422325e-08   6.0189864e+02
   4.2782142e-08   6.0189531e+02
   4.4186600e-08   6.0189187e+02
   4.5637163e-08   6.0188832e+02
   4.7135345e-08   6.0188466e+02
   4.8682710e-08   6.0188087e+02
   5.0280873e-08   6.0187696e+02
   5.1931499e-08   6.0187292e+02
   5.3636313e-08   6.0186875e+02
   5.5397093e-08   6.0186444e+02
   5.7215676e-08   6.0185999e+02
   5.9093959e-08   6.0185539e+02
   6.1033903e-08   6.0185064e+02
   6.3037532e-08   6.0184574e+02
   6.5106936e-08   6.0184068e+02
   6.7244274e-08   6.0183545e+02
   6.9451778e-08   6.0183004e+02
   7.1731749e-08   6.0182447e+02
   7.4086568e-08   6.0181870e+02
   7.6518692e-08   6.0181275e+02
   7.9030657e-08   6.0180660e+02
   8.1625085e-08   6.0180026e+02
   8.4304684e-08   6.0179370e+02
   8.7072248e-08   6.0178693e+02
   8.9930667e-08   6.0177993e+02
   9.2882923e-08   6.0177271e+02
   9.5932095e-08   6.0176524e+02
   9.9081366e-08   6.0175754e+02
   1.0233402e-07   6.0174958e+02
   1.0569346e-07   6.0174136e+02
   1.0916317e-07   6.0173287e+02
   1.1274680e-07   6.0172410e+02
   1.1644806e-07   6.0171504e+02
   1.2027083e-07   6.0170569e+02
   1.2421910e-07   6.0169602e+02
   1.2829698e-07   6.0168605e+02
   1.3250873e-07   6.0167574e+02
   1.3685874e-07   6.0166509e+02
   1.4135156e-07   6.0165410e+02
   1.4599187e-07   6.0164274e+02
   1.5078450e-07   6.0163102e+02
   1.5573448e-07   6.0161890e+02
   1.6084695e-07   6.0160639e+02
   1.6612725e-07   6.0159347e+02
   1.7158090e-07   6.0158013e+02
   1.7721358e-07   6.0156634e+02
   1.8303117e-07   6.0155211e+02
   1.8903974e-07   6.0153740e+02
   1.9524556e-07   6.0152222e+02
   2.0165510e-07   6.0150653e+02
   2.0827506e-07   6.0149033e+02
   2.1511234e-07   6.0147360e+02
   2.2217408e-07   6.0145639e+02
   2.2946764e-07   6.0143861e+02
   2.3700063e-07   6.0142026e+02
   2.4478092e-07   6.0140130e+02
   2.5281661e-07   6.0138172e+02
   2.6111611e-07   6.0136150e+02
   2.6968806e-07   6.0134061e+02
   2.7854142e-07   6.0131904e+02
   2.8768541e-07   6.0129676e+02
   2.9712958e-07   6.0127375e+02
   3.0688379e-07   6.0124998e+02
   3.1695821e-07   6.0122543e+02
   3.2736335e-07   6.0120008e+02
   3.3811008e-07   6.0117389e+02
   3.4920960e-07   6.0114702e+02
   3.6067350e-07   6.0111947e+02
   3.7251373e-07   6.0109102e+02
   3.8474266e-07   6.0106164e+02
   3.9737304e-07   6.0103129e+02
   4.1041805e-07   6.0099994e+02
   4.2389131e-07   6.0096757e+02
   4.3780686e-07   6.0093413e+02
   4.5217924e-07   6.0089960e+02
   4.6702344e-07   6.0086393e+02
   4.8235494e-07   6.0082709e+02
   4.9818975e-07   6.0078904e+02
   5.1454439e-07   6.0074938e+02
   5.3143592e-07   6.0070639e+02
   5.4888196e-07   6.0066200e+02
   5.6690073e-07   6.0061614e+02
   5.8551102e-07   6.0056879e+02
   6.0473224e-07   6.0051918e+02
   6.2458447e-07   6.0046788e+02
   6.4508841e-07   6.0041491e+02
   6.6626545e-07   6.0036019e+02
   6.8813770e-07   6.0030367e+02
   7.1072797e-07   6.0024530e+02
   7.3405984e-07   6.0018502e+02
   7.5815765e-07   6.0012275e+02
   7.8304654e-07   6.0005845e+02
   8.0875249e-07   5.9999203e+02
   8.3530232e-07   5.9992343e+02
   8.6272373e-07   5.9985257e+02
   8.9104533e-07   5.9977939e+02
   9.2029668e-07   5.9970381e+02
   9.5050830e-07   5.9962575e+02
   9.8171170e-07   5.9954350e+02
   1.0139395e-06   5.9945713e+02
   1.0472252e-06   5.9936792e+02
   1.0816036e-06   5.9927578e+02
   1.1171107e-06   5.9918061e+02
   1.1537833e-06   5.9908232e+02
   1.1916598e-06   5.9898081e+02
   1.2307798e-06   5.9887596e+02
   1.2711840e-06   5.9876767e+02
   1.3129146e-06   5.9865694e+02
   1.3560151e-06   5.9854914e+02
   1.4005305e-06   5.9843781e+02
   1.4465073e-06   5.9832282e+02
   1.4939935e-06   5.9820405e+02
   1.5430385e-06   5.9808139e+02
   1.5936935e-06   5.9795470e+02
   1.6460115e-06   5.9782385e+02
   1.7000470e-06   5.9768871e+02
   1.7558563e-06   5.9754913e+02
   1.8134978e-06   5.9740497e+02
